Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;ADI  ;ALLIANCES;413.00;410.00;413.00;409.00;2672892.65;6503;65;9052221080.00
10/09/2026;ADI  ;ALLIANCES;418.95;412.90;419.40;412.90;884153.05;2129;49;9116248985.20
09/09/2026;ADI  ;ALLIANCES;416.00;419.80;419.95;412.50;4746783.00;11418;97;9268591242.40
08/09/2026;ADI  ;ALLIANCES;423.55;420.00;423.55;415.00;186358.25;444;16;9273006960.00
07/09/2026;ADI  ;ALLIANCES;420.00;419.95;420.00;416.00;540727.85;1290;37;9271903030.60
04/09/2026;ADI  ;ALLIANCES;420.00;424.00;425.00;420.00;1070883.15;2539;52;9361321312.00
03/09/2026;ADI  ;ALLIANCES;420.00;420.00;425.00;415.15;1048820.65;2498;32;9273006960.00
02/09/2026;ADI  ;ALLIANCES;417.00;420.00;420.00;410.00;5429922.10;12947;73;9273006960.00
01/09/2026;ADI  ;ALLIANCES;415.20;420.00;420.00;406.80;4879967.00;11690;120;9273006960.00
31/08/2026;ADI  ;ALLIANCES;426.00;415.50;426.00;415.40;1819277.30;4366;98;9173653314.00
28/08/2026;ADI  ;ALLIANCES;438.00;430.00;438.00;430.00;9344629.20;21588;75;9493792840.00
27/08/2026;ADI  ;ALLIANCES;436.20;437.00;442.00;433.15;12052381.55;27573;139;9648342956.00
24/08/2026;ADI  ;ALLIANCES;430.00;436.20;441.00;426.10;12203364.05;27949;274;9630680085.60
19/08/2026;ADI  ;ALLIANCES;420.00;429.95;429.95;415.05;8018139.40;18768;137;9492688910.60
18/08/2026;ADI  ;ALLIANCES;420.00;422.00;423.00;417.15;3138862.20;7475;95;9317164136.00
17/08/2026;ADI  ;ALLIANCES;425.00;424.00;425.95;415.30;4893956.25;11561;193;9361321312.00
13/08/2026;ADI  ;ALLIANCES;425.00;424.20;427.00;418.10;29100788.20;68633;575;9365737029.60
12/08/2026;ADI  ;ALLIANCES;400.00;397.00;400.00;390.00;1914759.55;4827;55;8765199436.00
11/08/2026;ADI  ;ALLIANCES;410.00;398.00;410.00;390.00;5118156.10;12892;166;8787278024.00
10/08/2026;ADI  ;ALLIANCES;413.00;410.00;413.00;393.00;3613931.80;8916;166;9052221080.00
07/08/2026;ADI  ;ALLIANCES;385.00;400.00;400.00;382.00;10562472.55;26554;218;8831435200.00
06/08/2026;ADI  ;ALLIANCES;379.00;380.00;380.00;371.65;5028045.75;13271;100;8389863440.00
05/08/2026;ADI  ;ALLIANCES;377.40;377.00;377.40;370.00;1560867.35;4179;75;8323627676.00
04/08/2026;ADI  ;ALLIANCES;369.00;376.90;386.00;367.00;1324200.15;3537;93;8321419817.20
03/08/2026;ADI  ;ALLIANCES;365.50;366.35;369.00;365.00;1032406.75;2820;60;8088490713.80
31/07/2026;ADI  ;ALLIANCES;368.40;365.10;368.90;363.20;2094757.25;5732;44;8060892478.80
29/07/2026;ADI  ;ALLIANCES;370.00;369.00;370.00;361.00;1594771.55;4352;83;8146998972.00
28/07/2026;ADI  ;ALLIANCES;363.00;366.85;369.90;361.00;835316.00;2277;50;8099530007.80
27/07/2026;ADI  ;ALLIANCES;369.00;366.50;369.00;362.15;1307287.25;3573;60;8091802502.00
24/07/2026;ADI  ;ALLIANCES;377.00;360.00;377.00;360.00;4076202.30;11301;204;7948291680.00
23/07/2026;ADI  ;ALLIANCES;370.00;366.05;373.00;366.05;2935852.00;8001;77;8081867137.40
22/07/2026;ADI  ;ALLIANCES;365.00;370.00;370.00;362.10;684679.65;1864;54;8169077560.00
15/09/2023;ADI;ALLIANCES;102.00;100.00;103.50;99.00;6356129.47;63178;258;2207858800.00
