Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;SMI  ;SMI;6605.00;6591.00;6690.00;6583.00;3209105.00;486;97;10842788190.00
10/09/2026;SMI  ;SMI;6850.00;6600.00;6854.00;6550.00;12750698.00;1926;186;10857594000.00
09/09/2026;SMI  ;SMI;6790.00;6850.00;6900.00;6770.00;8860400.00;1295;150;11268866500.00
08/09/2026;SMI  ;SMI;6700.00;6711.00;6822.00;6700.00;2790227.00;412;44;11040198990.00
07/09/2026;SMI  ;SMI;6800.00;6700.00;6800.00;6654.00;724426.00;108;28;11022103000.00
04/09/2026;SMI  ;SMI;6800.00;6840.00;6840.00;6450.00;5542952.00;828;152;11252415600.00
03/09/2026;SMI  ;SMI;6870.00;6751.00;6870.00;6670.00;12353330.00;1833;89;11106002590.00
02/09/2026;SMI  ;SMI;6481.00;6610.00;6788.00;6481.00;8829193.00;1325;101;10874044900.00
01/09/2026;SMI  ;SMI;6650.00;6600.00;6650.00;6415.00;4080701.00;622;111;10857594000.00
31/08/2026;SMI  ;SMI;6890.00;6800.00;6900.00;6800.00;2938396.00;430;104;11186612000.00
28/08/2026;SMI  ;SMI;7235.00;6900.00;7340.00;6890.00;12380117.00;1741;231;11351121000.00
27/08/2026;SMI  ;SMI;7080.00;7100.00;7103.00;7011.00;5081545.00;718;104;11680139000.00
24/08/2026;SMI  ;SMI;6920.00;7103.00;7149.00;6876.00;17238864.00;2447;258;11685074270.00
19/08/2026;SMI  ;SMI;6695.00;6700.00;6883.00;6503.00;9301549.00;1398;166;11022103000.00
18/08/2026;SMI  ;SMI;6705.00;6779.00;6894.00;6705.00;1928164.00;284;50;11152065110.00
17/08/2026;SMI  ;SMI;6805.00;6714.00;6810.00;6650.00;936729.00;139;51;11045134260.00
13/08/2026;SMI  ;SMI;6740.00;6795.00;6830.00;6700.00;2898503.00;430;76;11178386550.00
12/08/2026;SMI  ;SMI;6705.00;6800.00;6950.00;6700.00;6238494.00;916;158;11186612000.00
11/08/2026;SMI  ;SMI;6600.00;6690.00;6789.00;6450.00;7574041.00;1143;200;11005652100.00
10/08/2026;SMI  ;SMI;6718.00;6630.00;6718.00;6590.00;1318372.00;198;63;10906946700.00
07/08/2026;SMI  ;SMI;6800.00;6640.00;6800.00;6520.00;11701392.00;1769;161;10923397600.00
06/08/2026;SMI  ;SMI;6500.00;6503.00;6700.00;6480.00;7065734.00;1081;216;10698020270.00
05/08/2026;SMI  ;SMI;6590.00;6787.00;6901.00;6501.00;10050590.00;1500;296;11165225830.00
04/08/2026;SMI  ;SMI;6098.00;6350.00;6650.00;6010.00;7515445.00;1186;187;10446321500.00
03/08/2026;SMI  ;SMI;5998.00;6046.00;6100.00;5960.00;1461922.00;242;38;9946214140.00
31/07/2026;SMI  ;SMI;6117.00;5936.00;6117.00;5910.00;653630.00;110;38;9765254240.00
29/07/2026;SMI  ;SMI;6000.00;5961.00;6000.00;5933.00;529965.00;89;36;9806381490.00
28/07/2026;SMI  ;SMI;6120.00;6079.00;6120.00;5931.00;1340580.00;222;61;10000502110.00
27/07/2026;SMI  ;SMI;6234.00;6190.00;6234.00;6120.00;549230.00;89;39;10183107100.00
24/07/2026;SMI  ;SMI;6070.00;6080.00;6180.00;6010.00;3907990.00;643;68;10002147200.00
23/07/2026;SMI  ;SMI;6299.00;6010.00;6299.00;6010.00;2258536.00;373;79;9886990900.00
22/07/2026;SMI  ;SMI;6080.00;6299.00;6430.00;6061.00;4928737.00;792;126;10362421910.00
25/11/2025;SMI;SMI;-;2616.00;-;-;-;-;-;4303555440.00
15/09/2023;SMI;SMI;1302.00;1340.00;1340.00;1302.00;80020.00;60;4;2204420600.00
