Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;T2S  ;T2S GROUP HOLDING;226.00;226.80;227.90;225.65;4451001.05;19649;595;4940877463.20
10/09/2026;T2S  ;T2S GROUP HOLDING;228.00;228.00;229.00;225.05;4447494.45;19551;612;4967019672.00
09/09/2026;T2S  ;T2S GROUP HOLDING;229.00;229.10;232.95;228.50;4917701.35;21459;536;4990983363.40
08/09/2026;T2S  ;T2S GROUP HOLDING;230.00;230.60;232.90;230.00;2885703.45;12520;409;5023661124.40
07/09/2026;T2S  ;T2S GROUP HOLDING;230.50;233.00;234.00;228.00;9646469.00;41621;683;5075945542.00
04/09/2026;T2S  ;T2S GROUP HOLDING;230.20;231.50;233.00;230.10;3411952.30;14766;478;5043267781.00
03/09/2026;T2S  ;T2S GROUP HOLDING;231.00;231.10;237.90;230.25;3733500.60;16033;483;5034553711.40
02/09/2026;T2S  ;T2S GROUP HOLDING;230.50;232.40;233.00;230.00;4255423.95;18445;652;5062874437.60
01/09/2026;T2S  ;T2S GROUP HOLDING;238.00;235.00;238.40;232.00;10491808.75;44404;858;5119515890.00
31/08/2026;T2S  ;T2S GROUP HOLDING;238.50;238.00;239.00;238.00;5113951.25;21471;646;5184871412.00
28/08/2026;T2S  ;T2S GROUP HOLDING;238.50;238.50;239.50;238.50;5186168.45;21724;651;5195763999.00
27/08/2026;T2S  ;T2S GROUP HOLDING;238.20;239.00;240.00;238.20;6377436.50;26703;667;5206656586.00
24/08/2026;T2S  ;T2S GROUP HOLDING;241.20;238.20;242.80;238.20;9817843.75;40845;995;5189228446.80
19/08/2026;T2S  ;T2S GROUP HOLDING;243.10;242.20;246.00;241.05;6445407.20;26514;930;5276369142.80
18/08/2026;T2S  ;T2S GROUP HOLDING;241.20;243.00;243.00;240.00;5696460.70;23553;976;5293797282.00
17/08/2026;T2S  ;T2S GROUP HOLDING;238.00;243.00;249.70;238.00;22026297.10;90536;2072;5293797282.00
13/08/2026;T2S  ;T2S GROUP HOLDING;238.05;238.00;240.00;238.00;6217140.70;26096;869;5184871412.00
12/08/2026;T2S  ;T2S GROUP HOLDING;238.05;238.20;240.00;238.05;3575659.65;15014;686;5189228446.80
11/08/2026;T2S  ;T2S GROUP HOLDING;239.15;238.00;241.90;238.00;6726417.25;28153;1073;5184871412.00
10/08/2026;T2S  ;T2S GROUP HOLDING;243.00;240.20;243.00;239.50;5399520.20;22379;918;5232798794.80
07/08/2026;T2S  ;T2S GROUP HOLDING;242.00;243.00;244.50;240.15;11943803.75;49323;1435;5293797282.00
06/08/2026;T2S  ;T2S GROUP HOLDING;239.00;240.00;241.00;238.00;8052754.25;33687;1135;5228441760.00
05/08/2026;T2S  ;T2S GROUP HOLDING;242.00;239.65;242.00;239.00;6687500.50;27773;1154;5220816949.10
04/08/2026;T2S  ;T2S GROUP HOLDING;238.60;242.00;244.75;238.60;17161614.45;71055;1854;5272012108.00
03/08/2026;T2S  ;T2S GROUP HOLDING;238.00;238.75;239.00;237.55;14817576.75;62241;1955;5201210292.50
31/07/2026;T2S  ;T2S GROUP HOLDING;238.00;238.20;241.00;238.00;9941723.70;41725;2315;5189228446.80
29/07/2026;T2S  ;T2S GROUP HOLDING;238.00;238.10;245.00;238.00;58758903.10;245321;3956;5187049929.40
28/07/2026;T2S  ;T2S GROUP HOLDING;254.00;242.00;254.00;237.05;85519773.10;349867;9525;5272012108.00
27/07/2026;T2S  ;T2S GROUP HOLDING;267.55;267.55;267.55;267.55;222692299.45;832339;2252;5828623303.70
