tk     code  instrument               justes  vol=MAD vol=cours    vol=?  clôture  absent
DHO    DHO   DELTA HOLDING                28      651        12       36       30       7
NEJ    NEJ   AUTO NEJMA                   47       61       612        1        2      12
ATW    ATW   ATTIJARIWAFA BANK            34      664         0       32       26       4
BAL    BAL   BALIMA                       30      236       437       19        9      10
M2M    M2M   M2M Group                    37      453       213       22       14       8
LES    LES   LESIEUR CRISTAL              35      515       151       28       17       5
INV    INV   INVOLYS                      34      576        86       34       18       4
ARD    ARD   ARADEI CAPITAL               34      655         9       32       27       4
BOA    BOA   BANK OF AFRICA               34      663         2       31       28       4
EQD    EQD   EQDOM                        40      412       261        9        4      12
CIH    CIH   CIH                          34      652        12       32       23       4
GAZ    GAZ   AFRIQUIA GAZ                 32      590        74       32       21       6
BCP    BCP   BCP                          33      664         0       33       24       4
ATL    ATL   ATLANTASANAD                 27      658         6       32       22      11
JET    JET   JET CONTRACTORS              35      653        11       31       27       4
CDM    CDM   CDM                          34      533       131       32       24       4
ENK    NKL   ENNAKL                       27        1         0       30       24     676
LBV    LBV   LABEL VIE                    34      629        35       32       12       4
AFM    AFM   AFMA                         46      531       139        9        7       6
IAM    IAM   ITISSALAT AL-MAGHRIB         34      663         1       32       23       4
TGCC   TGC   TGCC S.A                    696        0         1       33       31       4
AFI    AFI   AFRIC INDUSTRIES SA          33      640        25       32       22       4
COL    COL   COLORADO                     34      651        15       30       21       4
AGM    AGM   AGMA                         31      202       466        6       17      16
CTM    CTM   CTM                          36      569        99       25       21       4
LHM    LHM   Holcim Maroc S.A             27      652        12       33       26      10
MOX    MOX   MAGHREB OXYGENE              36      462       209       18       14       7

27/27 titres résolus — 13636 volumes en dirhams, 3019 volumes valant le cours, 534 clôtures fausses, 842 séances absentes.
