symbol;nom;isin;secteur;date;cours;variation;variation_pct;precedent;volume;volume_mad;market_cap
ADH;Addoha;MA0000011512;Immobilier;2026-09-16;33.97;-0.4196;-1.2200;34.3896;79429;2695518.5;13674666098.38
AFM;AFMA;MA0000012296;Assurance;2026-09-16;1250;0.0000;0.0000;1250.0000;45;56250;1250000000
AFI;Afric Industries;MA0000012114;Industrie;2026-09-16;333;0.0000;0.0000;333.0000;124;41204.5;97069500
GAZ;Afriquia Gaz;MA0000010951;Énergie;2026-09-16;3700;35.9081;0.9800;3664.0919;70;258784;12718750000
AGM;Agma;MA0000010944;Assurance;2026-09-16;7080;400.1245;5.9900;6679.8755;;;1416000000
AKT;Akdital;MA0000012585;Santé;2026-09-16;1140;-5.0382;-0.4400;1145.0382;31288;35666871;16141495980
ADI;Alliances;MA0000011819;Immobilier;2026-09-16;390;-1.0166;-0.2600;391.0166;47479;18688151.65;8610649320
ALM;Aluminium du Maroc;MA0000010936;Matériaux;2026-09-16;1850;-8.9228;-0.4800;1858.9228;1;1850;862014900
ARD;Aradei;MA0000012460;Immobilier;2026-09-16;449.95;-0.0450;-0.0100;449.9950;1191;532194.25;5655030093.5
ATL;AtlantaSanad;MA0000011710;Assurance;2026-09-16;124;0.0000;0.0000;124.0000;453;56029.65;7475165780
ATW;Attijariwafa Bank;MA0000012445;Banque;2026-09-16;697.7;-2.3100;-0.3300;700.0100;23984;16706697.1;150103763370.3
ATH;Auto Hall;MA0000010969;Distribution;2026-09-16;65;0.0000;0.0000;65.0000;1617;105491.51;3519137570
NEJ;Auto Nejma;MA0000011009;Distribution;2026-09-16;5621;0.0000;0.0000;5621.0000;;;5751766944
BAL;Balima;MA0000011991;Immobilier;2026-09-16;188;0.0000;0.0000;188.0000;;;327872000
BOA;Bank of Africa;MA0000012437;Banque;2026-09-16;191.45;-0.5568;-0.2900;192.0068;46185;8833562.15;42172966117.45
BCP;Banque Populaire;MA0000011884;Banque;2026-09-16;240;-0.9881;-0.4100;240.9881;59400;14284598.8;48794993520
BCI;BMCI;MA0000010811;Banque;2026-09-16;580;-9.9705;-1.6900;589.9705;24448;14182568.5;7701985880
SBM;Boissons du Maroc;MA0000010365;Agroalimentaire;2026-09-16;2107;-1.8980;-0.0900;2108.8980;6;12486;5962078871
CRS;Cartier Saada;MA0000011868;Agroalimentaire;2026-09-16;20.3;0.3000;1.5000;20.0000;17688;355006.65;106879500
CAP;Cash Plus;MA0000012767;Finance;2026-09-16;233;4.0074;1.7500;228.9926;990;230781.8;5720869970
CFG;CFG Bank;MA0000012627;Banque;2026-09-16;205;-2.0080;-0.9700;207.0080;1262;258952;7176631800
CIH;CIH Bank;MA0000011454;Banque;2026-09-16;332;-7.8853;-2.3200;339.8853;2033;684882.1;12828924216
CMA;Ciments du Maroc;MA0000010506;Matériaux;2026-09-16;1599;-0.9600;-0.0600;1599.9600;513;820322;23083170396
CMG;CMGP;MA0000012718;Industrie;2026-09-16;304;1.5124;0.5000;302.4876;1443;440100.1;5168273600
COL;Colorado;MA0000011934;Matériaux;2026-09-16;79.65;1.6306;2.0900;78.0194;323;25528.05;1283767716.15
CSR;Cosumar;MA0000012247;Agroalimentaire;2026-09-16;185;-1.0044;-0.5400;186.0044;28449;5271288.5;17480121455
CDM;Crédit du Maroc;MA0000010381;Banque;2026-09-16;986.5;-11.4767;-1.1500;997.9767;2499;2465928.6;11469541263.5
CTM;CTM;MA0000010340;Transport;2026-09-16;868;-1.0429;-0.1200;869.0429;33;28486.8;1064148904
RDS;Dar Saada;MA0000012239;Immobilier;2026-09-16;170.2;-1.8061;-1.0500;172.0061;20942;3560485.35;4460746270
DRI;Dari;MA0000011421;Agroalimentaire;2026-09-16;4200;100.0390;2.4400;4099.9610;;;1253175000
DHO;Delta Holding;MA0000011850;Holding;2026-09-16;52.4;0.8911;1.7300;51.5089;2316;120605.61;4590240000
DYT;Disty;MA0000012536;Technologie;2026-09-16;345.1;-9.9046;-2.7900;355.0046;82;28698.45;344447761
DWY;Disway;MA0000011637;Technologie;2026-09-16;733.1;-6.8818;-0.9300;739.9818;75;55373.1;1382452122.2
NKL;Ennakl;MA0000011942;Automobile;2026-09-16;48.65;-0.0097;-0.0200;48.6597;2001;97428.41;1459500000
EQD;Eqdom;MA0000010357;Finance;2026-09-16;1480;0.0000;0.0000;1480.0000;;;2471970000
FBR;Fenie Brossette;MA0000011587;Distribution;2026-09-16;344;-1.0005;-0.2900;345.0005;924;312621.15;495010496
