Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
15/09/2026;CFG;CFG BANK;211.00;207.00;211.00;205.10;8794485.00;42282;17;7246647720.00
14/09/2026;CFG;CFG BANK;205.10;205.00;211.00;205.00;3877698.20;18475;33;7176631800.00
11/09/2026;CFG;CFG BANK;207.00;211.00;211.00;207.00;8740853.00;41520;37;7386679560.00
10/09/2026;CFG;CFG BANK;210.00;208.00;213.50;208.00;18599582.50;88417;59;7281655680.00
09/09/2026;CFG;CFG BANK;208.40;210.50;210.90;205.00;49524036.45;235849;91;7369175580.00
08/09/2026;CFG;CFG BANK;208.00;208.00;208.50;205.00;1107615.70;5316;21;7281655680.00
07/09/2026;CFG;CFG BANK;208.00;206.00;208.00;205.00;78709.50;382;12;7211639760.00
04/09/2026;CFG;CFG BANK;209.00;208.00;209.00;205.05;2286015.65;11017;32;7281655680.00
03/09/2026;CFG;CFG BANK;200.95;209.90;210.00;200.95;45198920.15;220411;85;7348170804.00
02/09/2026;CFG;CFG BANK;200.10;203.00;203.00;200.00;1294374.10;6414;32;7106615880.00
01/09/2026;CFG;CFG BANK;200.00;200.00;202.00;200.00;749035.00;3745;25;7001592000.00
31/08/2026;CFG;CFG BANK;200.00;200.00;201.00;200.00;4293007.40;21455;28;7001592000.00
28/08/2026;CFG;CFG BANK;200.00;200.60;202.00;198.00;3843979.65;19209;60;7022596776.00
27/08/2026;CFG;CFG BANK;199.90;197.50;200.00;197.50;2699260.00;13607;53;6914072100.00
24/08/2026;CFG;CFG BANK;200.00;200.00;200.00;198.00;341007.15;1709;49;7001592000.00
19/08/2026;CFG;CFG BANK;199.00;198.00;199.00;196.25;1447995.35;7317;37;6931576080.00
18/08/2026;CFG;CFG BANK;197.50;197.05;200.00;197.00;153006.15;769;21;6898318518.00
17/08/2026;CFG;CFG BANK;199.05;197.00;200.00;197.00;517752.50;2618;34;6896568120.00
13/08/2026;CFG;CFG BANK;199.00;200.00;202.00;199.00;2981437.90;14872;28;7001592000.00
12/08/2026;CFG;CFG BANK;200.00;200.00;200.00;197.50;174904.35;881;26;7001592000.00
11/08/2026;CFG;CFG BANK;200.00;199.00;200.00;198.10;131679.20;664;22;6966584040.00
10/08/2026;CFG;CFG BANK;204.00;199.10;204.00;198.05;134777.05;674;35;6970084836.00
07/08/2026;CFG;CFG BANK;194.00;202.00;204.00;193.00;16493467.00;82623;102;7071607920.00
06/08/2026;CFG;CFG BANK;197.80;194.00;197.90;192.50;3780022.30;19561;35;6791544240.00
05/08/2026;CFG;CFG BANK;192.60;196.00;196.50;191.00;229639.80;1184;48;6861560160.00
04/08/2026;CFG;CFG BANK;192.55;193.00;195.00;192.55;1129278.35;5852;36;6756536280.00
03/08/2026;CFG;CFG BANK;192.00;193.00;196.00;192.00;3411589.05;17676;39;6756536280.00
31/07/2026;CFG;CFG BANK;196.00;195.00;196.00;191.00;677937.00;3478;29;6826552200.00
29/07/2026;CFG;CFG BANK;194.00;196.00;196.50;192.00;1570716.50;8019;37;6861560160.00
28/07/2026;CFG;CFG BANK;195.00;195.00;196.50;190.50;1086340.20;5577;53;6826552200.00
27/07/2026;CFG;CFG BANK;194.00;195.00;197.00;190.00;175403.00;907;49;6826552200.00
24/07/2026;CFG;CFG BANK;194.95;190.00;194.95;190.00;1824735.55;9587;65;6651512400.00
23/07/2026;CFG;CFG BANK;190.00;193.85;195.00;190.00;2853388.90;14727;33;6786293046.00
22/07/2026;CFG;CFG BANK;193.50;190.00;194.00;190.00;610388.00;3211;51;6651512400.00
21/07/2026;CFG;CFG BANK;195.80;193.00;195.80;191.00;1398672.30;7247;20;6756536280.00
20/07/2026;CFG;CFG BANK;190.00;194.00;197.90;190.00;538927.65;2828;45;6791544240.00
17/07/2026;CFG;CFG BANK;190.00;190.00;192.00;190.00;6635247.75;34922;54;6651512400.00
16/07/2026;CFG;CFG BANK;193.00;190.00;193.00;189.00;2290590.65;12053;46;6651512400.00
15/07/2026;CFG;CFG BANK;193.75;190.00;193.75;188.00;1510907.85;7952;93;6651512400.00
14/07/2026;CFG;CFG BANK;194.00;190.00;194.85;190.00;1396412.25;7336;81;6651512400.00
13/07/2026;CFG;CFG BANK;198.90;190.00;198.90;190.00;3952089.45;20792;161;6651512400.00
10/07/2026;CFG;CFG BANK;197.00;199.00;199.00;194.00;553299.50;2792;36;6966584040.00
