Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
15/09/2026;CMG;CMGP GROUP;317.00;309.00;317.00;309.00;2922508.20;9432;132;5253278100.00
14/09/2026;CMG;CMGP GROUP;321.00;312.50;328.50;309.50;3269169.90;10452;231;5312781250.00
11/09/2026;CMG;CMGP GROUP;327.10;323.00;330.00;323.00;1424592.90;4401;88;5491290700.00
10/09/2026;CMG;CMGP GROUP;330.00;332.50;332.50;325.25;1150604.65;3484;56;5652799250.00
09/09/2026;CMG;CMGP GROUP;323.50;334.00;334.00;323.50;1457016.10;4407;99;5678300600.00
08/09/2026;CMG;CMGP GROUP;319.95;327.00;335.00;319.00;2011768.50;6160;135;5559294300.00
07/09/2026;CMG;CMGP GROUP;312.10;317.00;317.00;312.10;469131.50;1482;34;5389285300.00
04/09/2026;CMG;CMGP GROUP;317.95;311.05;317.95;311.05;2163456.00;6924;131;5288129945.00
03/09/2026;CMG;CMGP GROUP;312.95;315.95;319.00;308.00;2002178.50;6418;134;5371434355.00
02/09/2026;CMG;CMGP GROUP;312.50;309.20;318.90;308.00;5031927.55;16221;379;5256678280.00
01/09/2026;CMG;CMGP GROUP;320.00;312.00;325.00;308.00;10985738.75;35031;423;5304280800.00
31/08/2026;CMG;CMGP GROUP;329.85;320.00;329.85;318.00;9536454.70;29744;230;5440288000.00
28/08/2026;CMG;CMGP GROUP;335.00;328.00;345.00;328.00;13707816.85;41055;579;5576295200.00
27/08/2026;CMG;CMGP GROUP;324.45;320.00;324.45;319.90;3580811.25;11156;134;5440288000.00
24/08/2026;CMG;CMGP GROUP;322.95;324.00;324.00;319.25;11355916.15;35166;205;5508291600.00
19/08/2026;CMG;CMGP GROUP;319.00;320.00;323.95;319.00;1241568.30;3875;80;5440288000.00
18/08/2026;CMG;CMGP GROUP;323.00;319.00;323.00;319.00;2017731.25;6308;124;5423287100.00
17/08/2026;CMG;CMGP GROUP;322.00;323.00;324.95;322.00;1416624.65;4398;54;5491290700.00
13/08/2026;CMG;CMGP GROUP;320.00;321.00;325.00;320.00;3589136.05;11178;118;5457288900.00
12/08/2026;CMG;CMGP GROUP;327.10;320.00;330.00;320.00;6778032.40;21138;282;5440288000.00
11/08/2026;CMG;CMGP GROUP;334.00;329.00;334.85;328.15;2449819.15;7431;97;5593296100.00
10/08/2026;CMG;CMGP GROUP;336.95;335.90;336.95;334.00;978789.05;2920;81;5710602310.00
07/08/2026;CMG;CMGP GROUP;324.10;336.90;336.90;324.10;3655057.30;10967;198;5727603210.00
06/08/2026;CMG;CMGP GROUP;326.00;326.90;326.90;318.10;818317.10;2530;84;5557594210.00
05/08/2026;CMG;CMGP GROUP;320.00;325.00;325.00;318.00;1383727.75;4275;93;5525292500.00
04/08/2026;CMG;CMGP GROUP;317.00;324.00;324.00;317.00;544289.40;1690;79;5508291600.00
03/08/2026;CMG;CMGP GROUP;324.00;318.50;324.00;318.00;620469.85;1939;75;5414786650.00
31/07/2026;CMG;CMGP GROUP;320.00;324.00;324.00;320.00;322194.25;999;46;5508291600.00
29/07/2026;CMG;CMGP GROUP;320.00;320.00;320.00;317.10;420492.90;1317;39;5440288000.00
28/07/2026;CMG;CMGP GROUP;320.00;319.00;321.80;316.00;259595.30;814;49;5423287100.00
27/07/2026;CMG;CMGP GROUP;319.00;319.00;321.90;316.30;507705.50;1593;77;5423287100.00
24/07/2026;CMG;CMGP GROUP;316.00;318.00;321.00;314.00;493191.60;1562;72;5406286200.00
23/07/2026;CMG;CMGP GROUP;312.15;315.00;321.00;312.15;2875085.85;9125;65;5355283500.00
22/07/2026;CMG;CMGP GROUP;316.20;311.05;318.95;310.00;823876.55;2632;124;5288129945.00
21/07/2026;CMG;CMGP GROUP;317.30;317.00;319.95;316.20;2081021.05;6563;46;5389285300.00
20/07/2026;CMG;CMGP GROUP;317.00;317.00;326.00;317.00;299389.50;939;59;5389285300.00
17/07/2026;CMG;CMGP GROUP;320.00;317.00;324.90;317.00;469243.15;1472;108;5389285300.00
16/07/2026;CMG;CMGP GROUP;325.00;324.00;325.95;320.00;135359.50;419;33;5508291600.00
15/07/2026;CMG;CMGP GROUP;320.00;325.00;326.00;320.00;619302.75;1915;46;5525292500.00
