Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
10/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
09/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
08/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
07/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
04/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
03/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
02/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
01/09/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
31/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
28/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
27/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
24/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
19/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
18/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
17/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
13/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
12/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
11/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
10/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
07/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
06/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
05/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
04/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
03/08/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
31/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
29/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
28/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
27/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
24/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
23/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
22/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
21/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
20/07/2026;CMT  ;MINIERE TOUISSIT;-;-;-;-;0.00;0;0;7313363550.00
17/07/2026;CMT;MINIERE TOUISSIT;-;4350.00;-;-;0.00;0;0;7313363550.00
16/07/2026;CMT;MINIERE TOUISSIT;4531.00;4350.00;4600.00;4300.00;22955345.00;5268;88;7313363550.00
15/07/2026;CMT;MINIERE TOUISSIT;4587.00;4515.00;4611.00;4515.00;4661833.00;1032;45;7590766995.00
14/07/2026;CMT;MINIERE TOUISSIT;4700.00;4600.00;4800.00;4600.00;3883315.00;835;96;7733671800.00
13/07/2026;CMT;MINIERE TOUISSIT;4700.00;4740.00;4740.00;4650.00;659091.00;140;43;7969044420.00
10/07/2026;CMT;MINIERE TOUISSIT;4654.00;4810.00;4810.00;4654.00;1275966.00;267;54;8086730730.00
09/07/2026;CMT;MINIERE TOUISSIT;4670.00;4777.00;4790.00;4600.00;120707529.00;26194;65;8031250041.00
08/07/2026;CMT;MINIERE TOUISSIT;4615.00;4600.00;4650.00;4570.00;1406075.00;305;58;7733671800.00
07/07/2026;CMT;MINIERE TOUISSIT;4701.00;4797.00;4929.00;4574.00;1666476.00;349;89;8064874701.00
06/07/2026;CMT;MINIERE TOUISSIT;4924.00;4750.00;4925.00;4750.00;808937.00;167;51;7985856750.00
03/07/2026;CMT;MINIERE TOUISSIT;5050.00;4835.00;5090.00;4812.00;13333398.00;2717;164;8128761555.00
02/07/2026;CMT;MINIERE TOUISSIT;4501.00;4880.00;5000.00;4501.00;6546572.00;1369;165;8204417040.00
01/07/2026;CMT;MINIERE TOUISSIT;4546.00;4555.00;4647.00;4400.00;1655199.00;362;74;7658016315.00
30/06/2026;CMT;MINIERE TOUISSIT;4350.00;4550.00;4590.00;4300.00;6629626.00;1491;107;7649610150.00
29/06/2026;CMT;MINIERE TOUISSIT;4399.00;4380.00;4399.00;4266.00;1932839.00;446;83;7363800540.00
26/06/2026;CMT;MINIERE TOUISSIT;4231.00;4341.00;4499.00;4231.00;7075762.00;1635;110;7298232453.00
25/06/2026;CMT;MINIERE TOUISSIT;4449.00;4228.00;4680.00;4175.00;24583832.00;5783;303;7108253124.00
24/06/2026;CMT;MINIERE TOUISSIT;4611.00;4372.00;4650.00;4321.00;20540110.00;4690;299;7350350676.00
23/06/2026;CMT;MINIERE TOUISSIT;4700.00;4800.00;4840.00;4611.00;2902785.00;617;100;8069918400.00
22/06/2026;CMT;MINIERE TOUISSIT;4899.00;4949.00;4978.00;4800.00;4784115.00;977;121;8320422117.00
19/06/2026;CMT;MINIERE TOUISSIT;4750.00;4660.00;4900.00;4620.00;2190077.00;467;79;7834545780.00
18/06/2026;CMT;MINIERE TOUISSIT;5100.00;4785.00;5100.00;4765.00;13287953.00;2726;218;8044699905.00
16/06/2026;CMT;MINIERE TOUISSIT;5300.00;5101.00;5400.00;5101.00;28403678.00;5424;340;8575969533.00
15/06/2026;CMT;MINIERE TOUISSIT;4948.00;5006.00;5006.00;4901.00;4997351.00;1002;78;8416252398.00
12/06/2026;CMT;MINIERE TOUISSIT;4499.00;4551.00;4551.00;4400.00;4413321.00;976;145;7651291383.00
11/06/2026;CMT;MINIERE TOUISSIT;4406.00;4138.00;4500.00;4138.00;18887888.00;4465;346;6956942154.00
10/06/2026;CMT;MINIERE TOUISSIT;4530.00;4597.00;4615.00;4355.00;12877491.00;2885;321;7728628101.00
09/06/2026;CMT;MINIERE TOUISSIT;4988.00;4770.00;4997.00;4770.00;5564967.00;1157;122;8019481410.00
08/06/2026;CMT;MINIERE TOUISSIT;4900.00;4700.00;4900.00;4520.00;7216661.00;1535;275;7901795100.00
05/06/2026;CMT;MINIERE TOUISSIT;5197.00;4905.00;5210.00;4905.00;15849385.00;3191;234;8246447865.00
04/06/2026;CMT;MINIERE TOUISSIT;5175.00;5133.00;5250.00;5002.00;8415575.00;1626;124;8629768989.00
03/06/2026;CMT;MINIERE TOUISSIT;5200.00;5200.00;5489.00;5152.00;15838654.00;3018;275;8742411600.00
02/06/2026;CMT;MINIERE TOUISSIT;5700.00;5200.00;5940.00;5200.00;111503548.00;19607;690;8742411600.00
01/06/2026;CMT;MINIERE TOUISSIT;5330.00;5499.00;5499.00;5200.00;63400847.00;11661;552;9245100267.00
26/05/2026;CMT;MINIERE TOUISSIT;4889.00;5000.00;5030.00;4889.00;14110337.00;2824;167;8406165000.00
25/05/2026;CMT;MINIERE TOUISSIT;4850.00;4850.00;4900.00;4722.00;6356449.00;1320;130;8153980050.00
22/05/2026;CMT;MINIERE TOUISSIT;4590.00;4583.00;4660.00;4560.00;1793526.00;390;61;7705090839.00
21/05/2026;CMT;MINIERE TOUISSIT;4470.00;4547.00;4589.00;4390.00;5355614.00;1211;68;7644566451.00
20/05/2026;CMT;MINIERE TOUISSIT;4517.00;4375.00;4517.00;4350.00;1775523.00;401;119;7355394375.00
19/05/2026;CMT;MINIERE TOUISSIT;4830.00;4350.00;4998.00;4350.00;7279673.00;1582;254;7313363550.00
18/05/2026;CMT;MINIERE TOUISSIT;4600.00;4810.00;4950.00;4270.00;7570029.00;1628;245;8086730730.00
15/05/2026;CMT;MINIERE TOUISSIT;5000.00;4680.00;5050.00;4680.00;20409583.00;4242;622;7868170440.00
14/05/2026;CMT;MINIERE TOUISSIT;5500.00;5199.00;5850.00;5199.00;41763088.00;7613;644;8740730367.00
13/05/2026;CMT;MINIERE TOUISSIT;5100.00;5449.00;5480.00;5085.00;60760439.00;11530;918;9161038617.00
12/05/2026;CMT;MINIERE TOUISSIT;5124.00;4989.00;5150.00;4950.00;16010409.00;3184;310;8387671437.00
11/05/2026;CMT;MINIERE TOUISSIT;4900.00;5071.00;5150.00;4850.00;22307096.00;4418;292;8525532543.00
