Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
10/09/2026;CSR  ;COSUMAR;194.10;194.50;195.00;194.10;351584.80;1808;27;18377749313.50
09/09/2026;CSR  ;COSUMAR;194.50;195.00;195.00;194.00;1144429.90;5886;81;18424992885.00
08/09/2026;CSR  ;COSUMAR;195.50;194.00;195.50;193.00;2899022.15;14952;50;18330505742.00
07/09/2026;CSR  ;COSUMAR;194.00;191.50;194.00;190.20;6054979.20;31520;46;18094287884.50
04/09/2026;CSR  ;COSUMAR;189.25;193.40;193.40;189.15;2883542.60;14948;68;18273813456.20
03/09/2026;CSR  ;COSUMAR;189.00;190.00;191.00;189.00;4058942.80;21367;36;17952557170.00
02/09/2026;CSR  ;COSUMAR;191.00;190.00;191.85;188.00;1266914.45;6691;67;17952557170.00
01/09/2026;CSR  ;COSUMAR;190.30;191.90;194.00;190.15;269002.80;1413;65;18132082741.70
31/08/2026;CSR  ;COSUMAR;198.00;192.00;198.00;192.00;1864929.70;9654;149;18141531456.00
28/08/2026;CSR  ;COSUMAR;197.50;198.40;199.00;196.60;19234350.95;96982;144;18746249171.20
27/08/2026;CSR  ;COSUMAR;198.00;197.30;198.00;196.30;3204889.10;16267;51;18642313313.90
24/08/2026;CSR  ;COSUMAR;198.00;198.00;198.15;196.50;2655087.90;13419;118;18708454314.00
19/08/2026;CSR  ;COSUMAR;195.80;198.00;198.00;192.15;10508486.85;53528;107;18708454314.00
18/08/2026;CSR  ;COSUMAR;195.00;196.00;196.00;192.10;1129726.80;5767;67;18519480028.00
17/08/2026;CSR  ;COSUMAR;195.00;195.70;195.70;191.20;2273880.20;11626;76;18491133885.10
13/08/2026;CSR  ;COSUMAR;194.30;195.65;196.50;194.10;39288992.45;201277;163;18486409527.95
12/08/2026;CSR  ;COSUMAR;194.85;196.50;196.50;191.00;4530724.95;23377;127;18566723599.50
11/08/2026;CSR  ;COSUMAR;194.90;195.00;195.00;190.00;3935978.65;20301;115;18424992885.00
10/08/2026;CSR  ;COSUMAR;190.00;193.00;193.00;189.00;2280968.40;11885;159;18236018599.00
07/08/2026;CSR  ;COSUMAR;186.95;188.60;189.90;185.00;5178318.55;27504;115;17820275169.80
