Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
15/09/2026;DRI  ;DARI COUSPATE;-;4200.00;-;-;0.00;0;0;1253175000.00
14/09/2026;DRI  ;DARI COUSPATE;-;4200.00;-;-;0.00;0;0;1253175000.00
11/09/2026;DRI  ;DARI COUSPATE;-;4200.00;-;-;0.00;0;0;1253175000.00
10/09/2026;DRI  ;DARI COUSPATE;-;4200.00;-;-;0.00;0;0;1253175000.00
09/09/2026;DRI  ;DARI COUSPATE;-;4200.00;-;-;0.00;0;0;1253175000.00
08/09/2026;DRI  ;DARI COUSPATE;-;4200.00;-;-;0.00;0;0;1253175000.00
07/09/2026;DRI  ;DARI COUSPATE;4200.00;4200.00;4200.00;4200.00;42000.00;10;1;1253175000.00
04/09/2026;DRI  ;DARI COUSPATE;-;4100.00;-;-;0.00;0;0;1223337500.00
03/09/2026;DRI  ;DARI COUSPATE;-;4100.00;-;-;0.00;0;0;1223337500.00
02/09/2026;DRI  ;DARI COUSPATE;-;4100.00;-;-;0.00;0;0;1223337500.00
01/09/2026;DRI  ;DARI COUSPATE;-;4100.00;-;-;0.00;0;0;1223337500.00
31/08/2026;DRI  ;DARI COUSPATE;-;4100.00;-;-;0.00;0;0;1223337500.00
28/08/2026;DRI  ;DARI COUSPATE;4100.00;4100.00;4100.00;4100.00;4100.00;1;1;1223337500.00
27/08/2026;DRI  ;DARI COUSPATE;-;4061.00;-;-;0.00;0;0;1211700875.00
24/08/2026;DRI  ;DARI COUSPATE;-;4061.00;-;-;0.00;0;0;1211700875.00
19/08/2026;DRI  ;DARI COUSPATE;-;4061.00;-;-;0.00;0;0;1211700875.00
18/08/2026;DRI  ;DARI COUSPATE;-;4061.00;-;-;0.00;0;0;1211700875.00
17/08/2026;DRI  ;DARI COUSPATE;-;4061.00;-;-;0.00;0;0;1211700875.00
13/08/2026;DRI  ;DARI COUSPATE;-;4061.00;-;-;0.00;0;0;1211700875.00
12/08/2026;DRI  ;DARI COUSPATE;-;4061.00;-;-;0.00;0;0;1211700875.00
11/08/2026;DRI  ;DARI COUSPATE;4061.00;4061.00;4061.00;4061.00;20305.00;5;1;1211700875.00
10/08/2026;DRI  ;DARI COUSPATE;-;4060.00;-;-;0.00;0;0;1211402500.00
07/08/2026;DRI  ;DARI COUSPATE;-;4060.00;-;-;0.00;0;0;1211402500.00
06/08/2026;DRI  ;DARI COUSPATE;-;4060.00;-;-;0.00;0;0;1211402500.00
05/08/2026;DRI  ;DARI COUSPATE;-;4060.00;-;-;0.00;0;0;1211402500.00
04/08/2026;DRI  ;DARI COUSPATE;-;4060.00;-;-;0.00;0;0;1211402500.00
03/08/2026;DRI  ;DARI COUSPATE;-;4060.00;-;-;0.00;0;0;1211402500.00
31/07/2026;DRI;DARI COUSPATE;-;4060.00;-;-;0.00;0;0;1211402500.00
29/07/2026;DRI;DARI COUSPATE;4200.00;4200.00;4200.00;4200.00;25200.00;6;2;1253175000.00
28/07/2026;DRI;DARI COUSPATE;-;4200.00;-;-;0.00;0;0;1253175000.00
27/07/2026;DRI;DARI COUSPATE;-;4200.00;-;-;0.00;0;0;1253175000.00
24/07/2026;DRI;DARI COUSPATE;4200.00;4200.00;4200.00;4200.00;134400.00;32;1;1253175000.00
