Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;ATH  ;AUTO HALL;67.86;65.50;67.86;65.50;3455874.44;52535;169;3546207859.00
10/09/2026;ATH  ;AUTO HALL;68.17;66.25;68.17;66.21;3003863.10;45289;120;3586813292.50
09/09/2026;ATH  ;AUTO HALL;67.03;66.40;68.80;66.38;1207733.10;18151;126;3594934379.20
08/09/2026;ATH  ;AUTO HALL;69.00;68.90;69.00;68.00;19637.63;288;25;3730285824.20
07/09/2026;ATH  ;AUTO HALL;69.89;68.00;69.89;68.00;38788.41;558;30;3681559304.00
04/09/2026;ATH  ;AUTO HALL;67.00;68.94;68.97;67.00;12718.11;189;16;3732451447.32
03/09/2026;ATH  ;AUTO HALL;69.00;68.00;69.00;67.10;20749.55;302;24;3681559304.00
02/09/2026;ATH  ;AUTO HALL;67.70;67.70;69.00;67.00;108193.76;1594;41;3404939545.60
01/09/2026;ATH  ;AUTO HALL;67.60;67.70;69.00;67.60;108237.30;1596;42;3404939545.60
31/08/2026;ATH  ;AUTO HALL;69.90;68.00;69.90;67.60;163768.66;2395;43;3420027904.00
28/08/2026;ATH  ;AUTO HALL;69.90;68.00;69.90;68.00;1819177.21;26544;49;3420027904.00
27/08/2026;ATH  ;AUTO HALL;69.99;69.00;69.99;68.60;61388.72;885;36;3470322432.00
24/08/2026;ATH  ;AUTO HALL;69.99;69.00;69.99;69.00;127460.41;1830;56;3470322432.00
19/08/2026;ATH  ;AUTO HALL;69.79;69.70;69.80;69.00;280797.03;4038;42;3505528601.60
18/08/2026;ATH  ;AUTO HALL;69.99;69.10;69.99;69.00;78076.61;1121;38;3475351884.80
17/08/2026;ATH  ;AUTO HALL;70.00;69.80;70.00;68.55;161390.00;2313;49;3510558054.40
13/08/2026;ATH  ;AUTO HALL;69.89;69.99;70.00;68.00;280161.60;4036;41;3520114014.72
12/08/2026;ATH  ;AUTO HALL;68.00;69.90;70.00;67.00;726358.77;10508;80;3515587507.20
