Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;HPS  ;HPS;666.00;650.00;666.00;650.00;832863.00;1280;23;4814023500.00
10/09/2026;HPS  ;HPS;663.10;650.00;665.10;650.00;724896.90;1113;30;4814023500.00
09/09/2026;HPS  ;HPS;669.90;670.00;674.00;663.10;556003.60;829;29;4962147300.00
08/09/2026;HPS  ;HPS;674.00;669.00;674.00;661.00;918221.00;1365;33;4954741110.00
07/09/2026;HPS  ;HPS;660.00;668.00;668.00;660.00;155380.00;233;20;4947334920.00
04/09/2026;HPS  ;HPS;669.00;670.00;670.00;658.00;2769911.00;4135;51;4962147300.00
03/09/2026;HPS  ;HPS;660.00;665.00;669.50;658.00;1501841.90;2279;31;4925116350.00
02/09/2026;HPS  ;HPS;650.00;663.00;663.00;650.00;561327.60;857;54;4910303970.00
01/09/2026;HPS  ;HPS;669.00;650.00;669.00;650.00;396869.50;602;43;4814023500.00
31/08/2026;HPS  ;HPS;659.00;670.00;679.90;655.00;19852892.70;29625;191;4962147300.00
28/08/2026;HPS  ;HPS;652.50;650.10;657.00;646.20;27316137.30;42016;62;4814764119.00
27/08/2026;HPS  ;HPS;646.00;653.00;656.00;646.00;1702757.90;2616;87;4836242070.00
24/08/2026;HPS  ;HPS;645.90;645.10;645.90;640.00;2958460.40;4594;63;4777733169.00
19/08/2026;HPS  ;HPS;639.80;646.00;646.00;630.20;778693.00;1210;37;4784398740.00
18/08/2026;HPS  ;HPS;640.00;639.80;640.00;630.10;360505.30;565;22;4738480362.00
17/08/2026;HPS  ;HPS;640.00;640.00;642.00;640.00;872964.00;1364;26;4739961600.00
13/08/2026;HPS  ;HPS;640.10;645.00;645.00;640.00;783782.70;1218;30;4776992550.00
12/08/2026;HPS  ;HPS;639.00;643.00;644.90;635.00;6346982.30;9915;57;4762180170.00
11/08/2026;HPS  ;HPS;630.00;639.00;643.00;630.00;3560575.10;5609;70;4732555410.00
10/08/2026;HPS  ;HPS;633.00;635.00;635.00;628.30;1161165.50;1838;47;4702930650.00
07/08/2026;HPS  ;HPS;614.00;634.00;634.00;614.00;3544673.90;5629;64;4695524460.00
06/08/2026;HPS  ;HPS;608.00;610.00;610.00;601.00;1394984.70;2288;19;4517775900.00
05/08/2026;HPS  ;HPS;604.00;610.00;610.00;600.00;307173.80;505;27;4517775900.00
04/08/2026;HPS  ;HPS;600.00;604.00;604.00;598.00;59978.00;100;8;4473338760.00
03/08/2026;HPS  ;HPS;608.00;595.00;608.00;590.00;449837.10;757;39;4406683050.00
31/07/2026;HPS  ;HPS;608.00;594.00;608.00;590.00;606856.70;1023;26;4399276860.00
29/07/2026;HPS  ;HPS;606.00;590.00;606.00;590.00;118335.70;199;20;4369652100.00
28/07/2026;HPS  ;HPS;606.00;600.00;606.00;595.00;76834.80;128;21;4443714000.00
27/07/2026;HPS  ;HPS;600.00;605.00;605.00;600.00;20420.00;34;5;4480744950.00
24/07/2026;HPS  ;HPS;593.00;602.00;602.00;593.00;740732.00;1231;20;4458526380.00
23/07/2026;HPS  ;HPS;600.00;593.00;612.00;590.00;2980372.30;5039;32;4391870670.00
22/07/2026;HPS  ;HPS;598.00;598.00;598.00;590.10;29852.60;50;7;4428901620.00
21/07/2026;HPS  ;HPS;599.00;598.00;599.00;588.00;859026.00;1448;14;4428901620.00
20/07/2026;HPS  ;HPS;599.00;593.00;614.00;593.00;346122.10;582;27;4391870670.00
17/07/2026;HPS  ;HPS;600.00;602.10;614.00;600.00;7420192.50;12326;30;4459266999.00
16/07/2026;HPS;HPS;612.00;600.00;613.00;600.00;331914.90;547;40;4443714000.00
15/07/2026;HPS;HPS;613.00;612.00;614.00;611.00;10001924.00;16343;31;4532588280.00
14/07/2026;HPS;HPS;615.10;613.10;617.00;613.00;401938.70;654;22;4540735089.00
13/07/2026;HPS;HPS;620.00;624.00;624.00;618.00;83084.00;134;21;4621462560.00
10/07/2026;HPS;HPS;620.00;620.00;620.00;616.00;6029462.00;9725;15;4591837800.00
09/07/2026;HPS;HPS;620.00;624.50;624.50;615.00;89899.00;145;13;4625165655.00
08/07/2026;HPS;HPS;623.00;620.10;630.00;620.00;1968045.10;3152;22;4592578419.00
07/07/2026;HPS;HPS;634.00;625.00;634.00;622.00;23452547.80;37525;34;4628868750.00
06/07/2026;HPS;HPS;635.00;622.00;635.00;622.00;86730.70;138;21;4606650180.00
03/07/2026;HPS;HPS;635.00;635.00;635.00;630.00;3150501.70;4991;28;4702930650.00
02/07/2026;HPS;HPS;621.00;625.00;629.90;620.10;420925.70;674;13;4628868750.00
01/07/2026;HPS;HPS;639.80;621.00;639.80;621.00;710160.30;1126;16;4599243990.00
30/06/2026;HPS;HPS;620.00;639.00;639.00;620.00;1878780.00;2969;24;4732555410.00
29/06/2026;HPS;HPS;620.40;620.40;638.80;620.40;1421520.40;2291;16;4594800276.00
26/06/2026;HPS;HPS;621.50;620.10;639.00;616.00;2740941.70;4413;30;4592578419.00
25/06/2026;HPS;HPS;618.00;621.50;638.00;618.00;294038.00;467;26;4602947085.00
24/06/2026;HPS;HPS;616.50;640.00;640.00;616.50;790263.00;1236;36;4739961600.00
23/06/2026;HPS;HPS;629.90;620.00;629.90;615.00;657873.80;1061;11;4591837800.00
22/06/2026;HPS;HPS;620.00;620.00;632.00;615.00;829709.50;1335;27;4591837800.00
19/06/2026;HPS;HPS;611.00;620.00;630.00;611.00;297489.70;476;22;4591837800.00
18/06/2026;HPS;HPS;641.90;630.00;644.70;630.00;313571.30;489;24;4665899700.00
16/06/2026;HPS;HPS;629.90;644.90;648.00;620.10;5492064.40;8590;89;4776251931.00
15/06/2026;HPS;HPS;622.00;620.00;630.00;620.00;4243930.70;6829;67;4591837800.00
12/06/2026;HPS;HPS;601.00;600.00;605.00;582.50;834280.50;1392;51;4443714000.00
11/06/2026;HPS;HPS;604.00;585.20;604.00;580.00;6939711.40;11800;79;4334102388.00
