Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;MNG  ;MANAGEM;1779.00;1750.00;1798.00;1750.00;77010546.00;43405;387;207631830000.00
10/09/2026;MNG  ;MANAGEM;1816.00;1800.00;1850.00;1780.00;116644199.00;64785;448;213564168000.00
09/09/2026;MNG  ;MANAGEM;1765.00;1800.00;1815.00;1765.00;101188281.00;56290;430;213564168000.00
08/09/2026;MNG  ;MANAGEM;1734.00;1764.00;1765.00;1734.00;55257895.00;31624;236;209292884640.00
07/09/2026;MNG  ;MANAGEM;1740.00;1739.00;1740.00;1720.00;36389848.00;21050;151;206326715640.00
04/09/2026;MNG  ;MANAGEM;1789.00;1720.00;1789.00;1671.00;49015323.00;28447;397;204072427200.00
03/09/2026;MNG  ;MANAGEM;1775.00;1752.00;1775.00;1730.00;36444845.00;20755;387;207869123520.00
02/09/2026;MNG  ;MANAGEM;1695.00;1710.00;1754.00;1671.00;20928540.00;12217;388;202885959600.00
01/09/2026;MNG  ;MANAGEM;1714.00;1695.00;1714.00;1640.00;42744299.00;25575;648;201106258200.00
31/08/2026;MNG  ;MANAGEM;1789.00;1730.00;1796.00;1690.00;94183699.00;54175;728;205258894800.00
28/08/2026;MNG  ;MANAGEM;1863.00;1820.00;1879.00;1811.00;63321578.00;34523;613;215937103200.00
27/08/2026;MNG  ;MANAGEM;1890.00;1860.00;1899.00;1860.00;64783759.00;34625;670;220682973600.00
24/08/2026;MNG  ;MANAGEM;1900.00;1895.00;1900.00;1854.00;86036919.00;45562;1064;224835610200.00
19/08/2026;MNG  ;MANAGEM;1773.00;1801.00;1801.00;1725.00;63882299.00;35834;605;213682814760.00
18/08/2026;MNG  ;MANAGEM;1719.00;1760.00;1780.00;1709.00;41337139.00;23500;533;208818297600.00
17/08/2026;MNG  ;MANAGEM;1695.00;1700.00;1700.00;1680.00;13338853.00;7862;270;201699492000.00
13/08/2026;MNG  ;MANAGEM;1700.00;1700.00;1714.00;1677.00;39363930.00;23191;596;201699492000.00
12/08/2026;MNG  ;MANAGEM;1631.00;1700.00;1700.00;1622.00;61559260.00;36524;688;201699492000.00
11/08/2026;MNG  ;MANAGEM;1625.00;1631.00;1644.00;1610.00;17750261.00;10905;383;193512865560.00
10/08/2026;MNG  ;MANAGEM;1667.00;1624.00;1676.00;1607.00;15992813.00;9772;556;192682338240.00
07/08/2026;MNG  ;MANAGEM;1620.00;1625.00;1650.00;1606.00;104483386.00;64201;816;192800985000.00
06/08/2026;MNG  ;MANAGEM;1601.00;1588.00;1639.00;1565.00;45524038.00;28509;1009;188411054880.00
05/08/2026;MNG  ;MANAGEM;1538.00;1583.00;1583.00;1517.00;45445788.00;29197;1065;187817821080.00
