Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;MUT  ;MUTANDIS SCA;242.00;236.00;243.00;236.00;2059766.30;8606;95;2182229932.00
10/09/2026;MUT  ;MUTANDIS SCA;244.00;242.10;244.00;242.00;72284.40;298;16;2238635027.70
09/09/2026;MUT  ;MUTANDIS SCA;240.50;244.00;245.00;240.50;399416.10;1650;53;2256203828.00
08/09/2026;MUT  ;MUTANDIS SCA;249.90;247.45;249.90;244.00;537512.90;2179;66;2288105070.65
07/09/2026;MUT  ;MUTANDIS SCA;250.00;250.00;258.00;245.05;13340548.70;53108;369;2311684250.00
04/09/2026;MUT  ;MUTANDIS SCA;236.00;236.05;241.00;236.00;278166.50;1165;38;2182692268.85
03/09/2026;MUT  ;MUTANDIS SCA;240.00;236.00;240.00;236.00;90541.45;381;38;2182229932.00
02/09/2026;MUT  ;MUTANDIS SCA;240.00;239.05;240.00;238.40;51539.75;215;18;2210432479.85
01/09/2026;MUT  ;MUTANDIS SCA;240.10;239.00;240.10;239.00;219433.30;916;68;2209970143.00
31/08/2026;MUT  ;MUTANDIS SCA;241.00;240.10;241.90;240.10;94522.60;393;29;2220141553.70
28/08/2026;MUT  ;MUTANDIS SCA;242.00;240.30;242.00;240.10;174492.75;724;37;2221990901.10
27/08/2026;MUT  ;MUTANDIS SCA;243.00;243.00;243.00;240.00;938481.85;3871;52;2246957091.00
24/08/2026;MUT  ;MUTANDIS SCA;243.00;240.00;243.00;239.80;150322.65;624;39;2219216880.00
19/08/2026;MUT  ;MUTANDIS SCA;239.50;241.00;241.50;239.50;251836.50;1047;29;2228463617.00
18/08/2026;MUT  ;MUTANDIS SCA;242.00;239.10;242.00;239.10;167793.90;698;33;2210894816.70
17/08/2026;MUT  ;MUTANDIS SCA;241.95;242.00;242.00;240.70;599073.85;2478;37;2237710354.00
13/08/2026;MUT  ;MUTANDIS SCA;241.00;241.00;242.00;240.50;95866.90;398;22;2228463617.00
12/08/2026;MUT  ;MUTANDIS SCA;243.80;240.00;243.80;240.00;73557.95;306;18;2219216880.00
11/08/2026;MUT  ;MUTANDIS SCA;243.90;243.80;243.90;240.20;3154061.40;13016;67;2254354480.60
10/08/2026;MUT  ;MUTANDIS SCA;243.00;242.00;244.90;242.00;2080320.65;8591;85;2237710354.00
07/08/2026;MUT  ;MUTANDIS SCA;235.95;241.00;241.00;235.30;1524951.95;6370;93;2228463617.00
06/08/2026;MUT  ;MUTANDIS SCA;234.05;235.95;236.00;233.50;112278.45;479;31;2181767595.15
05/08/2026;MUT  ;MUTANDIS SCA;233.95;235.00;236.50;233.15;239364.10;1018;34;2172983195.00
04/08/2026;MUT  ;MUTANDIS SCA;233.50;233.75;234.00;230.10;95814.40;412;35;2161424773.75
03/08/2026;MUT  ;MUTANDIS SCA;232.00;234.00;234.00;228.30;182928.50;787;58;2163736458.00
31/07/2026;MUT  ;MUTANDIS SCA;228.00;226.10;231.90;226.10;202317.30;892;48;2090687235.70
29/07/2026;MUT  ;MUTANDIS SCA;234.00;226.10;235.00;226.10;594967.65;2610;83;2090687235.70
28/07/2026;MUT  ;MUTANDIS SCA;233.95;232.00;237.00;231.20;266797.05;1138;47;2145242984.00
27/07/2026;MUT  ;MUTANDIS SCA;233.80;233.70;234.00;230.10;110716.85;476;35;2160962436.90
24/07/2026;MUT  ;MUTANDIS SCA;234.40;233.80;234.40;231.00;197465.30;845;18;2161887110.60
23/07/2026;MUT  ;MUTANDIS SCA;228.10;230.00;231.00;228.10;65495.50;285;28;2126749510.00
22/07/2026;MUT  ;MUTANDIS SCA;228.60;230.00;230.00;228.50;3206.90;14;7;2126749510.00
21/07/2026;MUT  ;MUTANDIS SCA;230.90;228.60;231.90;225.30;82765.70;366;24;2113804078.20
20/07/2026;MUT  ;MUTANDIS SCA;228.50;225.30;229.10;225.30;379950.10;1680;88;2083289846.10
17/07/2026;MUT  ;MUTANDIS SCA;231.50;226.05;231.50;226.05;265984.50;1174;82;2090224898.85
16/07/2026;MUT  ;MUTANDIS SCA;229.10;228.05;231.50;228.05;177060.35;774;54;2108718372.85
15/07/2026;MUT  ;MUTANDIS SCA;231.50;231.00;231.50;229.00;131140.40;570;40;2135996247.00
14/07/2026;MUT  ;MUTANDIS SCA;229.10;229.00;234.95;228.00;261098.75;1136;58;2117502773.00
13/07/2026;MUT  ;MUTANDIS SCA;236.00;230.00;236.00;230.00;334279.40;1448;86;2126749510.00
10/07/2026;MUT  ;MUTANDIS SCA;229.40;235.50;235.50;229.10;343423.20;1492;58;2177606563.50
09/07/2026;MUT  ;MUTANDIS SCA;233.50;235.00;235.00;233.00;1222987.20;5234;31;2172983195.00
08/07/2026;MUT;MUTANDIS SCA;237.00;235.00;237.00;232.00;123811.15;530;42;2172983195.00
07/07/2026;MUT;MUTANDIS SCA;237.00;235.00;237.00;235.00;115630.25;490;25;2172983195.00
06/07/2026;MUT;MUTANDIS SCA;240.00;238.00;240.00;236.30;311514.35;1310;31;2200723406.00
03/07/2026;MUT;MUTANDIS SCA;238.00;238.00;239.00;235.00;5260897.60;22096;45;2200723406.00
02/07/2026;MUT;MUTANDIS SCA;237.95;238.00;238.00;232.00;179279.25;762;34;2200723406.00
01/07/2026;MUT;MUTANDIS SCA;239.00;238.00;240.00;238.00;12158093.90;50871;81;2200723406.00
30/06/2026;MUT;MUTANDIS SCA;240.00;238.00;241.00;238.00;217586.95;908;42;2200723406.00
29/06/2026;MUT;MUTANDIS SCA;241.00;237.05;241.00;237.05;222540.10;932;53;2191939005.85
26/06/2026;MUT;MUTANDIS SCA;236.00;239.00;240.00;235.10;125327.95;524;23;2209970143.00
25/06/2026;MUT;MUTANDIS SCA;236.00;235.00;239.40;234.50;152782.60;647;28;2172983195.00
24/06/2026;MUT;MUTANDIS SCA;234.55;234.05;240.00;234.05;227099.25;963;35;2164198794.85
23/06/2026;MUT;MUTANDIS SCA;237.00;233.15;239.50;233.15;372741.15;1587;62;2155876731.55
22/06/2026;MUT;MUTANDIS SCA;235.00;235.00;237.00;235.00;60919.65;259;29;2172983195.00
19/06/2026;MUT;MUTANDIS SCA;236.60;235.50;236.80;234.00;121994.40;517;33;2177606563.50
18/06/2026;MUT;MUTANDIS SCA;236.25;236.10;236.80;233.00;254430.90;1077;26;2183154605.70
16/06/2026;MUT;MUTANDIS SCA;232.00;235.00;236.85;232.00;35454.45;152;14;2172983195.00
15/06/2026;MUT;MUTANDIS SCA;234.90;234.05;236.00;231.10;2479414.20;10595;39;2164198794.85
12/06/2026;MUT;MUTANDIS SCA;230.00;229.00;230.00;227.10;273912.10;1194;50;2117502773.00
11/06/2026;MUT;MUTANDIS SCA;234.90;226.15;234.90;226.15;1088664.40;4771;113;2091149572.55
10/06/2026;MUT;MUTANDIS SCA;235.00;230.00;235.00;230.00;389936.75;1689;57;2126749510.00
09/06/2026;MUT;MUTANDIS SCA;237.00;231.00;237.00;231.00;97372.00;417;25;2135996247.00
08/06/2026;MUT;MUTANDIS SCA;230.00;236.00;237.00;230.00;376906.75;1621;48;2182229932.00
05/06/2026;MUT;MUTANDIS SCA;233.00;231.50;234.00;231.50;240290.55;1034;33;2140619615.50
04/06/2026;MUT;MUTANDIS SCA;230.00;230.00;234.85;230.00;894314.90;3883;142;2126749510.00
03/06/2026;MUT;MUTANDIS SCA;234.00;234.90;235.00;234.00;86468.00;369;30;2172058521.30
02/06/2026;MUT;MUTANDIS SCA;233.00;235.00;237.00;233.00;112093.10;479;36;2172983195.00
01/06/2026;MUT;MUTANDIS SCA;237.50;232.20;237.50;230.00;360296.75;1555;71;2147092331.40
26/05/2026;MUT;MUTANDIS SCA;238.80;230.05;238.80;230.05;586174.80;2537;76;2127211846.85
25/05/2026;MUT;MUTANDIS SCA;243.00;225.00;243.95;225.00;1197842.65;5300;158;2080515825.00
22/05/2026;MUT;MUTANDIS SCA;234.00;234.00;237.60;234.00;152084.60;648;32;2163736458.00
21/05/2026;MUT;MUTANDIS SCA;238.90;234.00;238.90;232.15;28953.70;123;16;2163736458.00
20/05/2026;MUT;MUTANDIS SCA;237.00;232.00;240.00;232.00;697511.70;2984;123;2145242984.00
19/05/2026;MUT;MUTANDIS SCA;239.50;236.20;239.50;236.10;207420.55;877;35;2184079279.40
18/05/2026;MUT;MUTANDIS SCA;236.10;239.50;240.00;236.10;61795.80;261;28;2214593511.50
15/05/2026;MUT;MUTANDIS SCA;238.50;238.00;239.00;238.00;420009.05;1761;45;2200723406.00
14/05/2026;MUT;MUTANDIS SCA;238.50;238.10;239.00;238.10;297723.00;1248;33;2201648079.70
13/05/2026;MUT;MUTANDIS SCA;240.05;239.00;240.50;239.00;157972.40;659;38;2209970143.00
12/05/2026;MUT;MUTANDIS SCA;241.00;240.00;243.80;240.00;317456.30;1320;53;2219216880.00
