Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
15/09/2026;RDS;RESIDENCES DAR SAADA;175.00;172.00;175.00;170.25;6999612.85;40401;117;4507922200.00
14/09/2026;RDS;RESIDENCES DAR SAADA;179.70;175.20;179.70;175.10;3498433.25;19855;76;4591790520.00
11/09/2026;RDS;RESIDENCES DAR SAADA;179.00;177.95;179.00;176.00;1644465.50;9278;47;4663864857.50
10/09/2026;RDS;RESIDENCES DAR SAADA;178.00;177.40;181.85;177.40;2335003.95;13146;42;4649449990.00
09/09/2026;RDS;RESIDENCES DAR SAADA;177.55;179.00;181.00;177.55;1508299.10;8407;56;4691384150.00
08/09/2026;RDS;RESIDENCES DAR SAADA;177.50;180.00;180.00;177.10;5326662.45;29943;53;4717593000.00
07/09/2026;RDS;RESIDENCES DAR SAADA;180.00;178.00;180.00;178.00;1368574.90;7688;32;4665175300.00
04/09/2026;RDS;RESIDENCES DAR SAADA;180.00;180.00;180.00;178.50;464659.00;2583;32;4717593000.00
03/09/2026;RDS;RESIDENCES DAR SAADA;181.60;180.90;181.60;178.00;6389145.25;35565;77;4741180965.00
02/09/2026;RDS;RESIDENCES DAR SAADA;180.10;180.20;181.80;177.00;5228431.80;29123;108;4722834770.00
01/09/2026;RDS;RESIDENCES DAR SAADA;183.90;182.80;184.80;178.50;9809746.05;54218;173;4790977780.00
31/08/2026;RDS;RESIDENCES DAR SAADA;185.15;182.90;189.00;181.00;16525442.35;89662;311;4793598665.00
28/08/2026;RDS;RESIDENCES DAR SAADA;188.00;188.50;189.80;185.10;10364468.95;55307;209;4940368225.00
27/08/2026;RDS;RESIDENCES DAR SAADA;189.95;187.00;192.00;187.00;14750085.15;77901;405;4901054950.00
24/08/2026;RDS;RESIDENCES DAR SAADA;176.00;186.00;187.95;176.00;24563694.45;133151;516;4874846100.00
19/08/2026;RDS;RESIDENCES DAR SAADA;176.90;177.00;178.00;176.00;2034640.40;11479;98;4638966450.00
18/08/2026;RDS;RESIDENCES DAR SAADA;172.50;175.60;176.90;172.50;8418422.00;48095;77;4602274060.00
17/08/2026;RDS;RESIDENCES DAR SAADA;174.00;174.50;175.00;172.50;735155.20;4218;40;4573444325.00
13/08/2026;RDS;RESIDENCES DAR SAADA;176.90;175.55;177.00;172.60;2951711.60;16879;102;4600963617.50
12/08/2026;RDS;RESIDENCES DAR SAADA;173.20;173.00;175.45;172.90;2325494.55;13405;65;4534131050.00
11/08/2026;RDS;RESIDENCES DAR SAADA;177.35;176.00;177.35;174.00;2245607.85;12799;93;4612757600.00
10/08/2026;RDS;RESIDENCES DAR SAADA;179.10;177.30;181.00;174.00;9024370.65;50622;254;4646829105.00
07/08/2026;RDS;RESIDENCES DAR SAADA;167.25;177.10;178.00;167.25;14036902.60;80063;278;4641587335.00
06/08/2026;RDS;RESIDENCES DAR SAADA;169.40;169.90;170.00;166.40;1999560.60;11864;96;4452883615.00
05/08/2026;RDS;RESIDENCES DAR SAADA;168.15;169.40;170.95;168.15;695088.40;4097;37;4439779190.00
04/08/2026;RDS;RESIDENCES DAR SAADA;167.50;170.00;171.90;167.50;2788019.85;16486;85;4455504500.00
03/08/2026;RDS;RESIDENCES DAR SAADA;171.85;170.00;171.85;167.05;44102.75;259;18;4455504500.00
31/07/2026;RDS;RESIDENCES DAR SAADA;168.00;169.00;170.00;166.10;2140894.95;12746;75;4429295650.00
29/07/2026;RDS;RESIDENCES DAR SAADA;168.00;167.05;171.00;166.25;1449186.85;8670;60;4378188392.50
28/07/2026;RDS;RESIDENCES DAR SAADA;171.85;168.45;171.85;167.75;1313519.75;7799;48;4414880782.50
27/07/2026;RDS;RESIDENCES DAR SAADA;167.60;172.25;172.50;167.60;740610.35;4334;77;4514474412.50
24/07/2026;RDS;RESIDENCES DAR SAADA;169.90;167.50;171.00;167.50;1181656.75;7049;54;4389982375.00
23/07/2026;RDS;RESIDENCES DAR SAADA;170.00;168.50;172.90;168.00;514971.40;3035;57;4416191225.00
22/07/2026;RDS;RESIDENCES DAR SAADA;169.80;168.50;169.80;166.55;1361337.70;8115;51;4416191225.00
21/07/2026;RDS;RESIDENCES DAR SAADA;168.60;168.10;169.95;167.55;1296650.80;7712;22;4405707685.00
20/07/2026;RDS;RESIDENCES DAR SAADA;172.95;168.55;172.95;168.25;5129950.45;30412;61;4417501667.50
17/07/2026;RDS;RESIDENCES DAR SAADA;171.00;173.00;174.90;171.00;6653291.15;38451;113;4534131050.00
16/07/2026;RDS;RESIDENCES DAR SAADA;170.00;173.50;174.00;166.00;21124896.30;122222;234;4547235475.00
15/07/2026;RDS;RESIDENCES DAR SAADA;166.00;170.00;171.90;166.00;15553709.55;91461;148;4455504500.00
14/07/2026;RDS;RESIDENCES DAR SAADA;169.25;165.20;171.00;165.20;7239015.20;43035;143;4329702020.00
13/07/2026;RDS;RESIDENCES DAR SAADA;170.55;169.70;171.00;169.00;907111.20;5334;98;4447641845.00
10/07/2026;RDS;RESIDENCES DAR SAADA;170.20;173.50;174.50;170.10;2808942.25;16305;77;4547235475.00
09/07/2026;RDS;RESIDENCES DAR SAADA;170.00;172.05;174.95;170.00;1724354.10;10015;73;4509232642.50
08/07/2026;RDS;RESIDENCES DAR SAADA;172.40;170.20;172.50;168.25;1725065.80;10126;99;4460746270.00
07/07/2026;RDS;RESIDENCES DAR SAADA;174.50;172.55;174.50;172.15;947646.95;5492;47;4522337067.50
06/07/2026;RDS;RESIDENCES DAR SAADA;177.00;174.70;177.00;171.10;984710.95;5656;34;4578686095.00
03/07/2026;RDS;RESIDENCES DAR SAADA;172.20;174.00;177.00;172.20;3206090.90;18242;90;4560339900.00
02/07/2026;RDS;RESIDENCES DAR SAADA;173.50;175.70;176.00;171.00;1582354.00;9078;68;4604894945.00
01/07/2026;RDS;RESIDENCES DAR SAADA;173.50;173.00;173.85;171.20;2606678.85;15117;73;4534131050.00
30/06/2026;RDS;RESIDENCES DAR SAADA;173.10;174.00;175.80;171.00;4653990.25;26789;67;4560339900.00
29/06/2026;RDS;RESIDENCES DAR SAADA;176.00;174.50;176.00;172.05;1154301.00;6696;42;4573444325.00
26/06/2026;RDS;RESIDENCES DAR SAADA;175.90;175.00;175.90;171.10;7339903.45;41994;91;4586548750.00
25/06/2026;RDS;RESIDENCES DAR SAADA;175.00;172.15;176.00;171.00;1771573.55;10211;69;4511853527.50
24/06/2026;RDS;RESIDENCES DAR SAADA;177.70;176.50;178.00;173.00;10292503.00;58790;158;4625862025.00
23/06/2026;RDS;RESIDENCES DAR SAADA;177.00;176.00;177.00;173.05;2126077.35;12120;105;4612757600.00
22/06/2026;RDS;RESIDENCES DAR SAADA;172.45;177.70;177.95;171.00;11287428.45;64320;180;4657312645.00
19/06/2026;RDS;RESIDENCES DAR SAADA;172.00;171.80;174.00;168.15;5585656.00;32601;105;4502680430.00
18/06/2026;RDS;RESIDENCES DAR SAADA;179.00;173.80;179.95;172.50;15202566.85;86477;199;4555098130.00
16/06/2026;RDS;RESIDENCES DAR SAADA;174.00;178.00;181.90;174.00;33473353.25;185658;417;4665175300.00
15/06/2026;RDS;RESIDENCES DAR SAADA;166.00;173.10;173.10;165.25;23402154.05;138455;198;4536751935.00
12/06/2026;RDS;RESIDENCES DAR SAADA;164.00;163.00;164.00;161.20;1905170.40;11694;93;4272042550.00
11/06/2026;RDS;RESIDENCES DAR SAADA;160.00;156.10;162.90;156.00;2332905.10;14794;143;4091201485.00
10/06/2026;RDS;RESIDENCES DAR SAADA;162.00;162.00;165.90;160.00;4402041.55;27122;126;4245833700.00
09/06/2026;RDS;RESIDENCES DAR SAADA;163.60;165.00;166.00;163.55;317205.95;1923;22;4324460250.00
08/06/2026;RDS;RESIDENCES DAR SAADA;163.80;165.00;166.50;162.00;1099947.10;6703;77;4324460250.00
05/06/2026;RDS;RESIDENCES DAR SAADA;166.90;166.90;169.65;165.65;2768586.45;16572;67;4374257065.00
04/06/2026;RDS;RESIDENCES DAR SAADA;162.60;167.00;167.00;162.60;2893856.45;17572;74;4376877950.00
03/06/2026;RDS;RESIDENCES DAR SAADA;165.50;162.60;166.00;162.55;5707188.55;34910;98;4261559010.00
02/06/2026;RDS;RESIDENCES DAR SAADA;168.85;163.00;168.85;162.60;3685679.85;22515;128;4272042550.00
01/06/2026;RDS;RESIDENCES DAR SAADA;168.00;165.50;169.70;164.00;15279335.00;92346;131;4337564675.00
26/05/2026;RDS;RESIDENCES DAR SAADA;169.05;167.70;171.35;161.20;8327026.20;50343;187;4395224145.00
25/05/2026;RDS;RESIDENCES DAR SAADA;173.00;169.00;173.70;169.00;4215624.20;24631;108;4429295650.00
22/05/2026;RDS;RESIDENCES DAR SAADA;169.20;168.25;171.40;168.25;4722864.55;27955;64;4409639012.50
21/05/2026;RDS;RESIDENCES DAR SAADA;165.00;168.60;171.00;165.00;6031933.90;35668;102;4418812110.00
20/05/2026;RDS;RESIDENCES DAR SAADA;164.05;164.00;168.00;161.25;2340600.35;14251;68;4298251400.00
19/05/2026;RDS;RESIDENCES DAR SAADA;166.90;166.00;170.50;163.25;5884312.55;35153;117;4350669100.00
18/05/2026;RDS;RESIDENCES DAR SAADA;167.50;167.00;168.00;165.00;9783919.25;58850;179;4376877950.00
15/05/2026;RDS;RESIDENCES DAR SAADA;171.00;169.95;172.00;169.00;10521203.75;61678;182;4454194057.50
