Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
15/09/2026;RIS  ;RISMA;320.00;320.00;321.00;316.15;15460248.20;48319;128;5123882240.00
14/09/2026;RIS  ;RISMA;320.00;321.00;326.00;320.00;396455.35;1238;105;5139894372.00
11/09/2026;RIS  ;RISMA;320.05;325.00;325.00;320.00;4599302.05;14159;112;5203942900.00
10/09/2026;RIS  ;RISMA;320.00;326.00;328.00;320.00;740447.65;2296;138;5219955032.00
09/09/2026;RIS  ;RISMA;318.10;321.00;326.00;318.10;7660473.80;23593;139;5139894372.00
08/09/2026;RIS  ;RISMA;318.00;320.00;324.00;318.00;811935.95;2543;99;5123882240.00
07/09/2026;RIS  ;RISMA;317.00;318.60;325.00;317.00;410480.85;1288;100;5101465255.20
04/09/2026;RIS  ;RISMA;316.15;317.00;319.00;316.15;190690.60;602;77;5075845844.00
03/09/2026;RIS  ;RISMA;317.00;318.00;319.00;317.00;306682.70;967;87;5091857976.00
02/09/2026;RIS  ;RISMA;317.00;317.00;320.00;316.15;241475.45;762;82;5075845844.00
01/09/2026;RIS  ;RISMA;320.00;318.10;324.00;317.00;864776.75;2704;127;5093459189.20
31/08/2026;RIS  ;RISMA;321.20;320.00;330.00;320.00;6050618.45;18892;150;5123882240.00
28/08/2026;RIS  ;RISMA;325.20;325.00;330.00;325.00;1832309.30;5618;207;5203942900.00
27/08/2026;RIS  ;RISMA;326.00;327.00;333.95;325.20;4519606.30;13801;203;5235967164.00
24/08/2026;RIS  ;RISMA;321.10;326.30;332.00;321.10;662904.85;2032;200;5224758671.60
19/08/2026;RIS  ;RISMA;329.00;327.00;331.00;320.00;2398252.75;7340;150;5235967164.00
18/08/2026;RIS  ;RISMA;330.00;330.00;333.50;329.00;669311.00;2027;160;5284003560.00
17/08/2026;RIS  ;RISMA;333.70;330.00;334.00;330.00;441612.05;1330;114;5284003560.00
13/08/2026;RIS  ;RISMA;330.00;331.00;333.00;330.00;463866.75;1402;97;5300015692.00
12/08/2026;RIS  ;RISMA;330.00;332.50;335.00;330.00;1056963.10;3187;154;5324033890.00
11/08/2026;RIS  ;RISMA;329.00;332.00;334.95;329.00;1117923.70;3376;196;5316027824.00
10/08/2026;RIS  ;RISMA;332.10;330.15;334.00;329.50;1231788.90;3720;167;5286405379.80
07/08/2026;RIS  ;RISMA;326.00;334.00;344.00;326.00;2870861.85;8539;343;5348052088.00
06/08/2026;RIS  ;RISMA;320.00;325.00;326.00;320.00;1556592.05;4813;186;5203942900.00
05/08/2026;RIS  ;RISMA;320.00;320.00;323.50;320.00;743262.75;2317;148;5123882240.00
04/08/2026;RIS  ;RISMA;316.00;320.00;320.00;315.00;1879012.60;5887;154;5123882240.00
03/08/2026;RIS  ;RISMA;316.00;316.10;319.00;315.50;267046.25;845;101;5061434925.20
31/07/2026;RIS  ;RISMA;320.00;315.60;322.90;315.10;590947.05;1852;122;5053428859.20
29/07/2026;RIS  ;RISMA;316.00;320.00;323.00;316.00;2670449.50;8360;153;5123882240.00
28/07/2026;RIS  ;RISMA;324.00;320.00;324.00;316.00;376433.65;1182;157;5123882240.00
27/07/2026;RIS  ;RISMA;324.00;324.00;326.50;324.00;514826.15;1585;142;5187930768.00
