Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
14/09/2026;SID  ;SONASID;1937.00;1900.00;1937.00;1900.00;87988.00;46;11;7410000000.00
11/09/2026;SID  ;SONASID;1940.00;1923.00;1940.00;1923.00;1010397.00;521;8;7499700000.00
10/09/2026;SID  ;SONASID;1935.00;1950.00;1950.00;1925.00;86972.00;45;11;7605000000.00
09/09/2026;SID  ;SONASID;1930.00;1925.00;1970.00;1925.00;133079.00;69;7;7507500000.00
08/09/2026;SID  ;SONASID;1920.00;1930.00;1975.00;1920.00;1375188.00;713;17;7527000000.00
07/09/2026;SID  ;SONASID;1975.00;1955.00;1975.00;1955.00;71055.00;36;5;7624500000.00
04/09/2026;SID  ;SONASID;1922.00;1975.00;1975.00;1922.00;1052674.00;536;12;7702500000.00
03/09/2026;SID  ;SONASID;1949.00;1935.00;1949.00;1907.00;34869.00;18;7;7546500000.00
02/09/2026;SID  ;SONASID;1945.00;1940.00;1945.00;1851.00;684062.00;361;21;7566000000.00
01/09/2026;SID  ;SONASID;1993.00;1949.00;1993.00;1949.00;15642.00;8;4;7601100000.00
31/08/2026;SID  ;SONASID;1938.00;1945.00;1950.00;1938.00;25301.00;13;6;7585500000.00
28/08/2026;SID  ;SONASID;1942.00;1935.00;1989.00;1935.00;1228728.00;632;34;7546500000.00
27/08/2026;SID  ;SONASID;1998.00;1950.00;1998.00;1939.00;572305.00;291;21;7605000000.00
24/08/2026;SID  ;SONASID;1981.00;1970.00;2020.00;1930.00;1823906.00;926;56;7683000000.00
19/08/2026;SID  ;SONASID;1982.00;2000.00;2000.00;1980.00;135651.00;68;8;7800000000.00
18/08/2026;SID  ;SONASID;2001.00;2000.00;2001.00;1976.00;205345.00;103;17;7800000000.00
17/08/2026;SID  ;SONASID;2027.00;2024.00;2027.00;1995.00;233400.00;116;14;7893600000.00
13/08/2026;SID  ;SONASID;2035.00;2029.00;2035.00;2028.00;50771.00;25;4;7913100000.00
12/08/2026;SID  ;SONASID;1971.00;2019.00;2025.00;1971.00;536304.00;272;15;7874100000.00
11/08/2026;SID  ;SONASID;2003.00;2028.00;2028.00;2002.00;38099.00;19;7;7909200000.00
10/08/2026;SID  ;SONASID;2000.00;2037.00;2038.00;2000.00;2223568.00;1109;26;7944300000.00
07/08/2026;SID  ;SONASID;2000.00;2000.00;2050.00;2000.00;10511904.00;5253;48;7800000000.00
06/08/2026;SID  ;SONASID;1998.00;1995.00;1998.00;1990.00;61902.00;31;7;7780500000.00
05/08/2026;SID  ;SONASID;1990.00;1997.00;1997.00;1990.00;301190.00;151;8;7788300000.00
04/08/2026;SID  ;SONASID;1988.00;1988.00;1988.00;1940.00;238999.00;121;16;7753200000.00
03/08/2026;SID  ;SONASID;1950.00;1990.00;1990.00;1950.00;1282086.00;656;16;7761000000.00
31/07/2026;SID  ;SONASID;1940.00;1950.00;1950.00;1930.00;274694.00;141;16;7605000000.00
29/07/2026;SID  ;SONASID;1945.00;1935.00;1945.00;1925.00;760685.00;394;14;7546500000.00
28/07/2026;SID  ;SONASID;1950.00;1914.00;1950.00;1912.00;82576.00;43;10;7464600000.00
27/07/2026;SID  ;SONASID;1920.00;1940.00;1940.00;1920.00;34586.00;18;5;7566000000.00
24/07/2026;SID  ;SONASID;1927.00;1945.00;1945.00;1916.00;44186.00;23;7;7585500000.00
23/07/2026;SID  ;SONASID;1925.00;1950.00;1950.00;1925.00;107825.00;56;3;7605000000.00
22/07/2026;SID  ;SONASID;1913.00;1950.00;1950.00;1913.00;554640.00;285;10;7605000000.00
21/07/2026;SID  ;SONASID;1989.00;1922.00;1989.00;1922.00;963245.00;495;10;7495800000.00
