Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;SOT  ;SOTHEMA;363.90;365.00;365.00;353.20;737593.80;2021;18;13982967500.00
10/09/2026;SOT  ;SOTHEMA;351.10;364.90;364.90;351.10;192819.15;529;17;13979136550.00
09/09/2026;SOT  ;SOTHEMA;352.00;359.60;359.90;351.00;80849.95;229;15;13776096200.00
08/09/2026;SOT  ;SOTHEMA;356.00;361.20;364.95;350.10;207051.80;580;43;13837391400.00
07/09/2026;SOT  ;SOTHEMA;351.05;350.10;359.85;350.00;227046.55;644;48;13412155950.00
04/09/2026;SOT  ;SOTHEMA;376.95;340.00;376.95;340.00;1134016.25;3307;67;13025230000.00
03/09/2026;SOT  ;SOTHEMA;377.90;377.00;377.90;366.60;20290.10;54;7;14442681500.00
02/09/2026;SOT  ;SOTHEMA;358.00;379.50;379.50;357.00;215990.00;573;25;14538455250.00
01/09/2026;SOT  ;SOTHEMA;360.00;358.60;376.80;357.00;50226.80;136;12;13737786700.00
31/08/2026;SOT  ;SOTHEMA;360.00;360.00;386.00;360.00;513918.30;1389;59;13791420000.00
28/08/2026;SOT  ;SOTHEMA;361.00;360.00;370.00;360.00;2213434.10;6143;25;13791420000.00
27/08/2026;SOT  ;SOTHEMA;360.00;368.00;369.50;357.00;78943.20;218;33;14097896000.00
24/08/2026;SOT  ;SOTHEMA;369.95;368.00;369.95;359.00;23514.30;64;14;14097896000.00
19/08/2026;SOT  ;SOTHEMA;356.00;367.50;368.50;356.00;77530.00;215;12;14078741250.00
18/08/2026;SOT  ;SOTHEMA;365.00;361.50;370.00;361.50;84663.10;230;13;13848884250.00
17/08/2026;SOT  ;SOTHEMA;364.00;364.90;364.90;355.00;105855.30;293;19;13979136550.00
13/08/2026;SOT  ;SOTHEMA;368.70;364.00;368.70;364.00;17191.80;47;6;13944658000.00
12/08/2026;SOT  ;SOTHEMA;369.90;368.90;369.90;368.90;1476.60;4;2;14132374550.00
11/08/2026;SOT  ;SOTHEMA;362.50;369.85;369.85;362.50;51838.95;142;6;14168768575.00
10/08/2026;SOT  ;SOTHEMA;366.00;370.00;372.00;366.00;375524.00;1015;5;14174515000.00
07/08/2026;SOT  ;SOTHEMA;365.00;365.00;375.00;360.00;931278.20;2543;36;13982967500.00
06/08/2026;SOT  ;SOTHEMA;361.05;364.00;365.00;360.00;124101.85;344;16;13944658000.00
05/08/2026;SOT  ;SOTHEMA;362.10;369.90;369.90;362.10;18533.20;51;9;14170684050.00
04/08/2026;SOT  ;SOTHEMA;368.00;369.90;369.90;360.05;65676.95;180;14;14170684050.00
03/08/2026;SOT  ;SOTHEMA;370.00;370.00;370.00;359.00;24317.70;66;9;14174515000.00
31/07/2026;SOT  ;SOTHEMA;370.00;372.50;372.50;360.00;28002.50;76;13;14270288750.00
29/07/2026;SOT  ;SOTHEMA;360.00;370.00;370.00;353.00;383789.00;1038;15;14174515000.00
28/07/2026;SOT  ;SOTHEMA;350.10;369.00;369.00;350.10;180027.00;499;19;14136205500.00
27/07/2026;SOT  ;SOTHEMA;359.90;368.00;368.00;356.95;58899.85;161;18;14097896000.00
24/07/2026;SOT  ;SOTHEMA;355.00;359.90;360.00;355.00;21123.60;59;9;13787589050.00
23/07/2026;SOT  ;SOTHEMA;355.00;355.00;355.00;352.00;209409.50;590;13;13599872500.00
22/07/2026;SOT  ;SOTHEMA;351.50;355.00;359.00;350.30;26005.90;74;5;13599872500.00
21/07/2026;SOT  ;SOTHEMA;359.95;359.90;359.95;350.05;35593.70;99;8;13787589050.00
20/07/2026;SOT  ;SOTHEMA;356.10;359.95;364.95;355.00;31285.60;87;14;13789504525.00
17/07/2026;SOT  ;SOTHEMA;365.00;360.00;365.95;356.05;205918.10;572;13;13791420000.00
16/07/2026;SOT  ;SOTHEMA;357.05;366.45;367.85;357.05;28164.20;78;18;14038516275.00
15/07/2026;SOT  ;SOTHEMA;357.15;367.95;367.95;357.15;30633.40;85;10;14095980525.00
14/07/2026;SOT  ;SOTHEMA;357.05;368.95;368.95;356.05;57925.10;161;19;14134290025.00
13/07/2026;SOT  ;SOTHEMA;355.00;367.00;370.00;355.00;33784.55;93;17;14059586500.00
10/07/2026;SOT  ;SOTHEMA;352.05;369.80;369.90;352.05;108047.10;294;17;14166853100.00
09/07/2026;SOT  ;SOTHEMA;365.00;369.80;375.00;350.25;104582.35;289;21;14166853100.00
08/07/2026;SOT;SOTHEMA;368.00;361.05;368.00;355.05;23525.30;65;8;13831644975.00
07/07/2026;SOT;SOTHEMA;370.00;361.05;379.85;361.05;56637.95;156;6;13831644975.00
06/07/2026;SOT;SOTHEMA;384.95;368.30;384.95;364.00;112747.10;305;11;14109388850.00
