Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
11/09/2026;SNA;STOKVIS NORD AFRIQUE;67.08;67.70;68.00;67.08;248754.52;3689;49;1197961655.00
10/09/2026;SNA;STOKVIS NORD AFRIQUE;68.00;68.00;68.30;67.01;350207.16;5185;51;1203270200.00
09/09/2026;SNA;STOKVIS NORD AFRIQUE;67.95;67.61;68.20;67.51;283535.07;4188;68;1196369091.50
08/09/2026;SNA;STOKVIS NORD AFRIQUE;69.41;68.00;69.41;67.85;446169.92;6554;95;1203270200.00
07/09/2026;SNA;STOKVIS NORD AFRIQUE;69.39;69.50;70.00;69.00;248349.40;3580;41;1229812925.00
04/09/2026;SNA;STOKVIS NORD AFRIQUE;68.00;69.00;69.00;68.00;285535.93;4187;72;1220965350.00
03/09/2026;SNA;STOKVIS NORD AFRIQUE;69.42;68.00;69.43;67.55;272329.88;4002;77;1203270200.00
02/09/2026;SNA;STOKVIS NORD AFRIQUE;68.00;68.05;69.50;67.81;339808.40;4960;53;1204154957.50
01/09/2026;SNA;STOKVIS NORD AFRIQUE;68.30;68.00;70.50;68.00;1332541.93;19524;150;1203270200.00
31/08/2026;SNA;STOKVIS NORD AFRIQUE;71.96;68.20;71.96;68.20;1282272.90;18421;188;1206809230.00
28/08/2026;SNA;STOKVIS NORD AFRIQUE;72.98;70.13;72.98;70.00;864537.58;12144;122;1240960869.50
27/08/2026;SNA;STOKVIS NORD AFRIQUE;71.95;71.59;73.89;71.00;1305450.14;18042;115;1266795788.50
24/08/2026;SNA;STOKVIS NORD AFRIQUE;70.23;72.20;74.00;70.00;1682024.16;23517;187;1277589830.00
19/08/2026;SNA;STOKVIS NORD AFRIQUE;71.44;70.23;71.44;70.01;302614.72;4302;60;1242730384.50
18/08/2026;SNA;STOKVIS NORD AFRIQUE;70.99;71.40;72.45;70.01;167634.27;2367;66;1263433710.00
17/08/2026;SNA;STOKVIS NORD AFRIQUE;71.00;70.00;71.00;69.76;887056.77;12663;137;1238660500.00
13/08/2026;SNA;STOKVIS NORD AFRIQUE;72.70;71.01;72.90;71.00;1065340.96;14918;138;1256532601.50
12/08/2026;SNA;STOKVIS NORD AFRIQUE;72.61;72.00;73.88;72.00;455455.77;6293;95;1274050800.00
11/08/2026;SNA;STOKVIS NORD AFRIQUE;73.05;72.80;74.20;72.80;409763.75;5602;72;1288206920.00
10/08/2026;SNA;STOKVIS NORD AFRIQUE;74.11;74.00;75.35;74.00;1038007.60;13962;114;1309441100.00
07/08/2026;SNA;STOKVIS NORD AFRIQUE;76.70;74.00;76.98;72.83;2478950.33;33357;223;1309441100.00
06/08/2026;SNA;STOKVIS NORD AFRIQUE;73.50;75.00;77.50;70.00;4032808.43;54442;337;1327136250.00
05/08/2026;SNA;STOKVIS NORD AFRIQUE;67.30;72.00;73.00;66.55;1757817.33;24831;206;1274050800.00
04/08/2026;SNA;STOKVIS NORD AFRIQUE;67.98;66.71;67.98;66.61;387643.99;5805;77;1180443456.50
03/08/2026;SNA;STOKVIS NORD AFRIQUE;67.00;66.81;67.48;66.25;422235.14;6314;50;1182212971.50
31/07/2026;SNA;STOKVIS NORD AFRIQUE;67.16;66.16;67.39;66.16;420012.36;6330;84;1170711124.00
29/07/2026;SNA;STOKVIS NORD AFRIQUE;68.95;67.50;69.50;67.00;135858.89;2009;46;1194422625.00
28/07/2026;SNA;STOKVIS NORD AFRIQUE;68.00;68.02;69.20;67.60;227736.71;3347;60;1203624103.00
27/07/2026;SNA;STOKVIS NORD AFRIQUE;66.90;68.10;68.39;66.90;75254.89;1117;29;1205039715.00
24/07/2026;SNA;STOKVIS NORD AFRIQUE;69.85;68.02;69.85;66.10;282368.43;4177;85;1203624103.00
23/07/2026;SNA;STOKVIS NORD AFRIQUE;69.80;68.99;69.80;68.50;65584.18;952;35;1220788398.50
22/07/2026;SNA;STOKVIS NORD AFRIQUE;69.99;68.99;69.99;67.12;106161.60;1542;37;1220788398.50
21/07/2026;SNA;STOKVIS NORD AFRIQUE;69.76;68.20;70.00;68.00;188887.90;2734;34;1206809230.00
20/07/2026;SNA;STOKVIS NORD AFRIQUE;67.10;68.00;69.00;67.10;36511.16;541;14;1203270200.00
17/07/2026;SNA;STOKVIS NORD AFRIQUE;68.00;67.12;69.88;66.20;268757.53;3970;70;1187698468.00
16/07/2026;SNA;STOKVIS NORD AFRIQUE;68.00;67.99;68.50;66.10;312355.15;4675;83;1203093248.50
15/07/2026;SNA;STOKVIS NORD AFRIQUE;71.00;68.10;71.00;68.00;333127.45;4856;65;1205039715.00
14/07/2026;SNA;STOKVIS NORD AFRIQUE;68.20;68.00;69.28;66.00;691087.83;10231;117;1203270200.00
13/07/2026;SNA;STOKVIS NORD AFRIQUE;70.50;69.69;70.50;68.00;312273.49;4541;88;1233175003.50
10/07/2026;SNA;STOKVIS NORD AFRIQUE;71.10;71.00;71.10;69.00;428534.33;6103;72;1256355650.00
09/07/2026;SNA;STOKVIS NORD AFRIQUE;71.00;71.00;72.00;71.00;204804.24;2878;39;1256355650.00
08/07/2026;SNA;STOKVIS NORD AFRIQUE;72.50;72.15;72.50;70.60;130967.87;1843;35;1276705072.50
07/07/2026;SNA;STOKVIS NORD AFRIQUE;71.00;72.50;72.95;71.00;358970.02;5024;72;1282898375.00
06/07/2026;SNA;STOKVIS NORD AFRIQUE;73.30;72.05;73.80;72.05;83551.50;1148;34;1274935557.50
03/07/2026;SNA;STOKVIS NORD AFRIQUE;72.61;73.05;74.00;72.61;306512.61;4195;40;1292630707.50
02/07/2026;SNA;STOKVIS NORD AFRIQUE;75.59;73.02;75.59;72.40;145124.08;1980;45;1292099853.00
01/07/2026;SNA;STOKVIS NORD AFRIQUE;76.00;74.20;76.00;74.00;89329.00;1180;19;1312980130.00
30/06/2026;SNA;STOKVIS NORD AFRIQUE;73.90;73.00;73.90;72.22;136594.41;1877;40;1291745950.00
29/06/2026;SNA;STOKVIS NORD AFRIQUE;73.34;73.95;73.99;73.00;291738.96;3982;43;1308556342.50
26/06/2026;SNA;STOKVIS NORD AFRIQUE;74.67;73.01;74.67;72.00;1728670.98;23428;50;1291922901.50
