Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
15/09/2026;STR;STROC INDUSTRIE;175.10;175.00;177.70;170.00;61325.70;351;31;218490125.00
14/09/2026;STR;STROC INDUSTRIE;175.25;177.55;180.95;175.15;94961.35;538;34;221673838.25
11/09/2026;STR;STROC INDUSTRIE;176.10;181.50;183.20;176.00;146256.20;816;23;226605472.50
10/09/2026;STR;STROC INDUSTRIE;180.00;178.95;180.00;173.00;305442.65;1736;59;223421759.25
09/09/2026;STR;STROC INDUSTRIE;180.95;177.55;180.95;177.20;108006.95;606;22;221673838.25
08/09/2026;STR;STROC INDUSTRIE;182.95;181.00;182.95;176.00;177385.35;1003;38;225981215.00
07/09/2026;STR;STROC INDUSTRIE;183.70;179.00;183.75;176.50;139607.45;784;30;223484185.00
04/09/2026;STR;STROC INDUSTRIE;180.00;179.00;180.00;176.05;246157.30;1380;84;223484185.00
03/09/2026;STR;STROC INDUSTRIE;188.45;179.90;188.45;179.00;694153.95;3859;96;224607848.50
02/09/2026;STR;STROC INDUSTRIE;181.00;184.85;190.00;180.00;689007.30;3739;77;230787997.75
01/09/2026;STR;STROC INDUSTRIE;185.00;184.00;196.60;175.00;1382647.10;7411;137;229726760.00
31/08/2026;STR;STROC INDUSTRIE;196.00;184.55;198.00;184.55;848576.75;4473;152;230413443.25
28/08/2026;STR;STROC INDUSTRIE;214.00;205.00;215.00;205.00;1494188.00;7147;194;255945575.00
27/08/2026;STR;STROC INDUSTRIE;183.95;202.35;202.35;180.00;1545285.55;7951;182;252637010.25
24/08/2026;STR;STROC INDUSTRIE;182.00;184.00;185.00;182.00;131017.40;717;34;229726760.00
19/08/2026;STR;STROC INDUSTRIE;184.95;184.95;185.00;183.00;94480.35;514;24;230912849.25
18/08/2026;STR;STROC INDUSTRIE;183.20;185.00;185.00;183.00;66311.25;362;18;230975275.00
17/08/2026;STR;STROC INDUSTRIE;184.00;185.95;187.85;183.00;55431.10;302;17;232161364.25
13/08/2026;STR;STROC INDUSTRIE;187.00;186.90;189.00;183.00;264141.15;1436;53;233347453.50
12/08/2026;STR;STROC INDUSTRIE;193.70;187.00;193.70;183.30;40346.40;215;8;233472305.00
11/08/2026;STR;STROC INDUSTRIE;188.60;185.00;190.00;185.00;243555.25;1307;35;230975275.00
10/08/2026;STR;STROC INDUSTRIE;195.85;192.00;195.85;186.10;98774.55;518;28;239714880.00
07/08/2026;STR;STROC INDUSTRIE;198.40;195.90;199.90;191.05;162610.30;838;29;244584088.50
06/08/2026;STR;STROC INDUSTRIE;200.00;196.50;203.00;188.00;525064.60;2673;68;245333197.50
05/08/2026;STR;STROC INDUSTRIE;190.00;195.20;195.20;184.50;218684.60;1137;43;243710128.00
04/08/2026;STR;STROC INDUSTRIE;189.80;190.00;194.30;188.00;405191.40;2102;29;237217850.00
03/08/2026;STR;STROC INDUSTRIE;187.00;189.85;190.00;187.00;9288.90;49;5;237030572.75
31/07/2026;STR;STROC INDUSTRIE;185.00;187.40;192.00;181.50;1751539.80;9511;55;233971711.00
29/07/2026;STR;STROC INDUSTRIE;181.50;186.90;187.50;181.50;32355.30;177;10;233347453.50
28/07/2026;STR;STROC INDUSTRIE;182.90;187.90;195.00;180.80;550583.40;2971;70;234595968.50
27/07/2026;STR;STROC INDUSTRIE;171.25;182.00;182.00;171.25;457264.60;2568;42;227229730.00
24/07/2026;STR;STROC INDUSTRIE;170.10;175.00;175.50;170.10;153875.90;895;31;218490125.00
23/07/2026;STR;STROC INDUSTRIE;177.00;176.50;179.85;173.00;23573.95;134;17;220362897.50
22/07/2026;STR;STROC INDUSTRIE;174.00;177.95;177.95;167.30;15473.80;90;9;222173244.25
21/07/2026;STR;STROC INDUSTRIE;171.40;179.00;179.00;171.40;34757.55;201;12;223484185.00
20/07/2026;STR;STROC INDUSTRIE;172.00;176.50;176.50;170.30;36042.80;209;7;220362897.50
17/07/2026;STR;STROC INDUSTRIE;175.00;176.90;176.90;170.10;95430.30;552;21;220862303.50
16/07/2026;STR;STROC INDUSTRIE;169.95;174.95;174.95;169.95;266887.10;1561;30;218427699.25
15/07/2026;STR;STROC INDUSTRIE;167.65;178.00;183.00;167.65;50324.10;290;13;222235670.00
14/07/2026;STR;STROC INDUSTRIE;166.60;167.60;170.50;166.60;93181.45;553;29;209251114.00
13/07/2026;STR;STROC INDUSTRIE;170.05;173.30;175.95;170.05;226024.70;1313;39;216367649.50
10/07/2026;STR;STROC INDUSTRIE;174.05;183.00;183.00;174.00;30268.45;169;17;228478245.00
09/07/2026;STR;STROC INDUSTRIE;175.00;173.20;175.00;173.00;31439.00;181;10;216242798.00
08/07/2026;STR;STROC INDUSTRIE;176.10;175.00;177.00;175.00;99567.30;567;34;218490125.00
07/07/2026;STR;STROC INDUSTRIE;175.10;181.00;181.00;175.10;46458.30;261;20;225981215.00
06/07/2026;STR;STROC INDUSTRIE;187.85;180.00;187.85;180.00;32396.95;179;18;224732700.00
03/07/2026;STR;STROC INDUSTRIE;184.90;183.00;184.90;183.00;8251.20;45;7;228478245.00
