Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
15/09/2026;VCN  ;VICENNE;340.00;326.10;340.00;326.10;7437514.90;22297;206;3345410985.00
14/09/2026;VCN  ;VICENNE;340.00;338.00;344.00;337.65;562007.40;1656;102;3467491300.00
11/09/2026;VCN  ;VICENNE;340.25;340.00;348.50;340.00;3185438.30;9359;91;3488009000.00
10/09/2026;VCN  ;VICENNE;353.90;349.00;353.90;348.80;1739495.95;4977;64;3580338650.00
09/09/2026;VCN  ;VICENNE;339.00;351.00;353.90;339.00;14900309.15;43132;152;3600856350.00
08/09/2026;VCN  ;VICENNE;340.20;344.00;344.00;338.00;11596733.55;34128;90;3529044400.00
07/09/2026;VCN  ;VICENNE;345.00;340.00;345.00;340.00;1083178.25;3180;117;3488009000.00
04/09/2026;VCN  ;VICENNE;345.90;343.00;345.90;341.00;3801308.90;11085;76;3518785550.00
03/09/2026;VCN  ;VICENNE;340.00;342.95;346.00;340.00;327637.15;953;37;3518272607.50
02/09/2026;VCN  ;VICENNE;348.95;340.00;348.95;340.00;507558.10;1487;110;3488009000.00
01/09/2026;VCN  ;VICENNE;350.50;337.95;350.50;336.60;4055274.70;11936;314;3466978357.50
31/08/2026;VCN  ;VICENNE;348.00;342.00;354.90;342.00;13098637.70;37674;226;3508526700.00
28/08/2026;VCN  ;VICENNE;347.90;343.05;357.00;343.05;5655253.75;16098;175;3519298492.50
27/08/2026;VCN  ;VICENNE;346.45;347.00;347.00;342.20;408590.20;1184;87;3559820950.00
24/08/2026;VCN  ;VICENNE;345.00;346.90;348.00;342.20;1403148.25;4082;153;3558795065.00
19/08/2026;VCN  ;VICENNE;345.00;345.00;349.85;344.20;2732956.00;7903;113;3539303250.00
18/08/2026;VCN  ;VICENNE;350.00;345.00;354.50;341.00;1530476.90;4411;135;3539303250.00
17/08/2026;VCN  ;VICENNE;348.15;350.00;357.00;348.15;589623.20;1683;84;3590597500.00
13/08/2026;VCN  ;VICENNE;351.15;350.00;357.00;348.00;588002.00;1680;79;3590597500.00
12/08/2026;VCN  ;VICENNE;354.00;350.00;358.00;350.00;806121.75;2297;126;3590597500.00
11/08/2026;VCN  ;VICENNE;360.00;355.00;360.00;352.00;386039.50;1085;63;3641891750.00
10/08/2026;VCN  ;VICENNE;359.00;359.95;363.90;357.00;953456.35;2647;142;3692673057.50
07/08/2026;VCN  ;VICENNE;348.00;358.95;364.00;347.00;1669496.55;4662;175;3682414207.50
06/08/2026;VCN  ;VICENNE;345.00;345.00;350.00;344.10;2176609.90;6305;121;3539303250.00
05/08/2026;VCN  ;VICENNE;345.30;345.00;348.85;342.00;1099224.80;3186;55;3539303250.00
04/08/2026;VCN  ;VICENNE;348.00;345.00;349.50;340.00;1117945.60;3259;105;3539303250.00
03/08/2026;VCN  ;VICENNE;348.50;345.00;348.50;344.20;284967.75;821;37;3539303250.00
31/07/2026;VCN  ;VICENNE;349.90;347.00;349.90;342.00;2508443.00;7308;61;3559820950.00
29/07/2026;VCN  ;VICENNE;350.00;346.00;350.00;345.00;1351563.85;3904;50;3549562100.00
28/07/2026;VCN  ;VICENNE;350.00;350.00;350.00;347.00;290886.60;832;58;3590597500.00
27/07/2026;VCN  ;VICENNE;357.00;351.00;357.85;350.00;232286.10;656;62;3600856350.00
24/07/2026;VCN  ;VICENNE;355.00;350.00;356.00;347.00;1606362.35;4582;61;3590597500.00
23/07/2026;VCN  ;VICENNE;343.50;350.00;360.00;343.50;1643912.50;4695;88;3590597500.00
22/07/2026;VCN  ;VICENNE;340.10;341.25;344.90;340.00;198255.15;580;40;3500832562.50
21/07/2026;VCN  ;VICENNE;340.00;341.95;342.00;340.00;259874.00;763;63;3508013757.50
20/07/2026;VCN  ;VICENNE;340.00;340.50;343.00;336.10;415491.65;1220;59;3493138425.00
17/07/2026;VCN  ;VICENNE;336.20;336.00;345.00;335.00;764811.70;2268;190;3446973600.00
16/07/2026;VCN  ;VICENNE;340.75;340.00;346.80;340.00;2133599.35;6272;146;3488009000.00
15/07/2026;VCN  ;VICENNE;340.10;345.00;345.00;340.10;709140.90;2078;95;3539303250.00
14/07/2026;VCN  ;VICENNE;342.00;342.00;344.00;340.55;566007.75;1658;84;3508526700.00
13/07/2026;VCN  ;VICENNE;340.30;342.10;346.00;340.30;377439.95;1104;95;3509552585.00
10/07/2026;VCN  ;VICENNE;342.00;345.65;346.90;342.00;248651.45;722;64;3545971502.50
09/07/2026;VCN  ;VICENNE;347.10;342.50;350.00;341.00;1492998.80;4358;158;3513656125.00
08/07/2026;VCN;VICENNE;351.40;347.00;351.45;347.00;1164825.30;3342;161;3559820950.00
07/07/2026;VCN;VICENNE;352.50;351.55;355.00;351.00;164447.85;467;54;3606498717.50
06/07/2026;VCN;VICENNE;353.60;353.00;358.85;353.00;381995.80;1080;105;3621374050.00
03/07/2026;VCN;VICENNE;360.00;353.50;361.00;348.00;2400809.70;6781;282;3626503475.00
02/07/2026;VCN;VICENNE;369.00;360.00;369.00;359.00;498013.30;1383;64;3693186000.00
01/07/2026;VCN;VICENNE;360.60;358.00;361.20;357.00;2888021.65;8037;169;3672668300.00
30/06/2026;VCN;VICENNE;366.00;360.00;372.90;360.00;4278741.75;11762;173;3693186000.00
29/06/2026;VCN;VICENNE;362.00;366.25;379.95;362.00;792338.45;2145;67;3757303812.50
26/06/2026;VCN;VICENNE;371.00;379.95;379.95;360.00;770448.55;2072;83;3897850057.50
25/06/2026;VCN;VICENNE;372.00;371.30;373.00;365.00;116622.60;314;23;3809111005.00
24/06/2026;VCN;VICENNE;375.00;369.00;375.00;363.00;2588250.60;6992;93;3785515650.00
