,rank,ticker,name,composite_score,signal,signal_label,fundamental_score,technical_score,nlp_sentiment_score,smart_money_score,network_score,p_outperform_1m,p_outperform_3m,p_outperform_6m,p_outperform_12m,price,pe_ratio,div_yield,upside_pct,alpha_12m
0,1,CMT,Ciments du Maroc,68.0,ACHAT,Achat ★★★★,71.3,58.6,49.3,91.0,45.0,0.476,0.429,0.386,0.347,5133.0,18.5,2.25,14.0,42.1
1,2,AKD,Akdital,64.2,ACHAT,Achat ★★★★,68.9,58.1,49.3,80.0,45.0,0.449,0.404,0.364,0.328,1160.0,22.4,0.96,18.0,22.8
2,3,MNG,Managem,63.1,ACHAT,Achat ★★★★,37.6,61.8,49.3,100.0,45.0,0.442,0.398,0.358,0.322,16550.0,58.69,0.37,2.0,55.3
3,4,SMI,SMI,61.4,ACHAT,Achat ★★★★,46.2,58.5,49.3,89.0,45.0,0.43,0.387,0.348,0.313,9100.0,37.0,1.76,7.0,38.5
4,5,TGCC,Travaux Généraux de Construction de Casablanca,61.3,ACHAT,Achat ★★★★,70.4,58.9,49.3,75.0,45.0,0.429,0.386,0.347,0.313,749.7,14.5,2.35,27.0,18.7
5,6,CFGB,CFG Bank,61.2,ACHAT,Achat ★★★★,72.5,62.2,49.3,69.0,45.0,0.429,0.386,0.347,0.312,204.0,14.2,1.7,17.0,14.6
6,7,SGTM,Société Générale Tanger Med,60.4,ACHAT,Achat ★★★★,70.7,59.0,49.3,70.0,45.0,0.422,0.38,0.342,0.308,730.2,15.0,1.64,27.0,15.9
7,8,SRM,SRM,58.8,NEUTRE,Neutre ★★★,74.8,56.0,49.3,60.0,45.0,0.411,0.37,0.333,0.3,469.85,8.2,5.66,8.0,9.8
8,9,SOT,Sothema,58.0,NEUTRE,Neutre ★★★,64.9,57.2,49.3,67.5,45.0,0.406,0.366,0.329,0.296,369.0,19.5,2.8,12.0,5.0
9,10,CMGP,CMGP Group,57.4,NEUTRE,Neutre ★★★,64.4,57.2,49.3,65.0,45.0,0.402,0.362,0.325,0.293,356.75,11.8,3.35,-3.0,11.5
10,11,CDM,Crédit du Maroc,56.1,NEUTRE,Neutre ★★★,74.9,52.5,49.3,50.0,45.0,0.393,0.353,0.318,0.286,620.0,11.0,4.5,6.0,0.0
11,12,CASH,CashPlus,56.0,NEUTRE,Neutre ★★★,60.7,56.1,49.3,64.0,45.0,0.392,0.353,0.318,0.286,277.5,28.41,3.51,12.0,10.1
12,13,BCP,Banque Centrale Populaire,55.6,NEUTRE,Neutre ★★★,72.8,52.5,49.3,50.0,45.0,0.389,0.35,0.315,0.284,244.0,11.5,3.2,7.0,0.0
13,14,ADI,Alliances Développement,55.6,NEUTRE,Neutre ★★★,71.5,57.0,49.3,47.5,45.0,0.389,0.351,0.315,0.284,391.95,9.8,1.2,17.0,8.5
14,15,BOA,Bank of Africa,55.4,NEUTRE,Neutre ★★★,72.3,52.5,49.3,50.0,45.0,0.388,0.349,0.314,0.283,200.0,12.0,3.5,7.0,0.0
15,16,ATL,Auto Hall,55.3,NEUTRE,Neutre ★★★,71.7,52.5,49.3,50.0,45.0,0.387,0.348,0.313,0.282,132.0,13.8,4.5,7.0,0.0
16,17,ATW,Attijariwafa Bank,55.3,NEUTRE,Neutre ★★★,71.8,52.5,49.3,50.0,45.0,0.387,0.348,0.314,0.282,681.5,13.5,3.5,8.0,0.0
17,18,WAF,Wafasalaf,54.9,NEUTRE,Neutre ★★★,70.1,52.5,49.3,50.0,45.0,0.384,0.346,0.311,0.28,4200.0,14.5,4.8,5.0,0.0
18,19,CSR,Ciments du Maroc,54.9,NEUTRE,Neutre ★★★,50.3,54.9,49.3,72.5,45.0,0.384,0.346,0.311,0.28,182.0,24.17,4.73,-15.0,19.2
19,20,CIH,CIH Bank,54.7,NEUTRE,Neutre ★★★,72.5,48.8,49.3,50.0,45.0,0.383,0.345,0.31,0.279,349.0,12.5,4.2,6.0,0.0
20,21,VCNE,Vecteur Commun Nouvelle Economie,54.6,NEUTRE,Neutre ★★★,62.4,55.5,49.3,55.0,45.0,0.382,0.344,0.309,0.278,370.0,0.0,0.0,9.0,5.5
21,22,MSA,Mutandis,54.1,NEUTRE,Neutre ★★★,40.5,58.4,49.3,77.5,45.0,0.379,0.341,0.307,0.276,820.3,38.0,1.34,-13.0,21.0
22,23,OUL,Oulmès,53.8,NEUTRE,Neutre ★★★,65.6,52.5,49.3,50.0,45.0,0.376,0.339,0.305,0.274,1380.0,15.0,3.0,6.0,0.0
23,24,RIS,Risma,53.7,NEUTRE,Neutre ★★★,51.6,57.1,49.3,62.5,45.0,0.376,0.338,0.304,0.274,335.0,17.72,2.72,-20.0,10.3
24,25,LBV,Label Vie,53.2,NEUTRE,Neutre ★★★,63.3,52.5,49.3,50.0,45.0,0.372,0.335,0.302,0.271,5100.0,18.0,2.8,4.0,0.0
25,26,M2M,M2M Group,52.5,NEUTRE,Neutre ★★★,60.5,52.5,49.3,50.0,45.0,0.367,0.331,0.298,0.268,398.0,18.0,2.0,6.0,0.0
26,27,S2M,S2M,52.2,NEUTRE,Neutre ★★★,63.3,47.5,49.3,50.0,45.0,0.365,0.329,0.296,0.266,529.0,15.0,2.5,5.0,0.0
27,28,ADH,Douja Prom Addoha,51.0,NEUTRE,Neutre ★★★,61.3,54.0,49.3,40.0,45.0,0.357,0.321,0.289,0.26,32.5,12.5,1.5,0.0,3.1
28,29,IAM,Maroc Telecom,51.0,NEUTRE,Neutre ★★★,57.5,48.8,49.3,50.0,45.0,0.357,0.321,0.289,0.26,91.7,18.5,5.5,5.0,0.0
29,30,SNA,Snep,50.8,NEUTRE,Neutre ★★★,50.5,49.2,49.3,57.5,45.0,0.356,0.32,0.288,0.259,1950.0,18.5,2.32,-11.0,7.6
30,31,HPS,HPS,50.4,NEUTRE,Neutre ★★★,52.2,52.5,49.3,50.0,45.0,0.353,0.318,0.286,0.257,615.0,24.5,2.2,2.0,0.0
31,32,MUT,Mutandis,49.9,NEUTRE,Neutre ★★★,50.0,52.5,49.3,50.0,45.0,0.349,0.314,0.283,0.254,231.5,0.0,0.0,0.0,0.0
32,33,RDS,Residences Dar Saada,49.9,NEUTRE,Neutre ★★★,52.6,57.1,49.3,42.5,45.0,0.35,0.315,0.283,0.255,167.0,8.5,1.77,-38.0,5.2
33,34,MIC,Maghreb Industries,49.1,NEUTRE,Neutre ★★★,50.0,48.8,49.3,50.0,45.0,0.344,0.309,0.278,0.251,783.0,0.0,0.0,0.0,0.0
