,ticker,total_mentions,unique_authors,mean_sentiment,median_sentiment,std_sentiment,min_sentiment,max_sentiment,signal_ACHAT_FORT,signal_ACHETER,signal_RENFORCEMENT,signal_VENTE,signal_PANIQUE,signal_EUPHORIE,signal_DOUTE,signal_RUMEUR,signal_IRONIE,signal_FOMO,first_mention,last_mention,sm_weighted_sentiment,sm_message_count,sm_author_count,conviction_score,strong_buy_ratio,strong_sell_ratio,buy_ratio,panic_ratio,polarization,trending_ratio,is_trending,recent_30d_avg,baseline_90d_avg,sector,general_score,predictive_score,general_rank,predictive_rank,sector_rank,classification
0,CFGB,88,55,0.07277272727272727,0.0,0.351530961252225,-0.76,1.0,1,19,1,20,0,4,2,0,0,0,2021-04-08 15:12:14,2026-06-24 08:50:47,0.0727727272727273,88.0,55.0,0.23863636363636365,0.011363636363636364,0.22727272727272727,0.2159090909090909,0.0,0.351530961252225,1.5,False,0.03,0.02,Banques,76.9,71.7,1,2,1,Meilleur pari
1,AFM,26,18,0.04153846153846154,0.0,0.3404431501169299,-0.36,1.0,0,1,0,8,0,0,0,1,0,0,2021-02-26 12:25:48,2026-01-19 11:06:42,0.04153846153846154,26.0,18.0,0.3076923076923077,0.0,0.3076923076923077,0.038461538461538464,0.0,0.3404431501169299,3.0,True,0.03,0.01,Assurances,76.1,81.5,2,1,1,Meilleur pari
2,T2S,21,14,-0.007619047619047613,0.0,0.3376078310985212,-0.36,1.0,1,0,0,7,0,1,0,0,0,0,2023-04-09 12:33:18,2026-07-02 12:57:57,-0.007619047619047597,21.0,14.0,0.38095238095238093,0.047619047619047616,0.3333333333333333,0.0,0.0,0.3376078310985212,1.833,True,0.37,0.2,Santé & Pharmacie,71.9,69.0,3,3,1,Meilleur pari
3,WAF,65,34,0.028307692307692305,0.0,0.29723501450225187,-0.56,1.0,1,8,1,14,0,1,1,0,2,0,2021-02-26 09:07:54,2026-06-02 16:46:24,0.02830769230769231,65.0,34.0,0.2153846153846154,0.015384615384615385,0.2153846153846154,0.12307692307692308,0.0,0.29723501450225187,2.25,True,0.1,0.04,Assurances,66.1,68.3,4,4,2,Meilleur pari
4,FNB,123,53,0.021065040650406507,0.0,0.39896671334585065,-1.0,1.0,1,6,1,20,1,0,1,0,1,0,2021-01-21 14:54:24,2026-03-26 10:04:49,0.021065040650406507,123.0,53.0,0.17073170731707318,0.008130081300813009,0.16260162601626016,0.04878048780487805,0.008130081300813009,0.39896671334585065,2.0,True,0.07,0.03,Distribution,61.0,62.6,5,7,1,Meilleur pari
5,HAL,222,74,0.039909909909909905,0.0,0.3621429319471358,-1.0,1.0,3,9,1,24,1,2,4,0,2,0,2021-02-01 09:46:15,2026-06-24 18:17:47,0.03990990990990992,222.0,74.0,0.12162162162162163,0.013513513513513514,0.10810810810810811,0.04054054054054054,0.0045045045045045045,0.3621429319471358,1.0,False,0.13,0.13,Distribution,61.0,55.5,5,18,1,Meilleur pari
6,SAF,103,44,-0.02342718446601941,0.0,0.31277128152673705,-0.76,1.0,0,5,0,28,0,1,0,0,1,0,2021-05-30 23:16:23,2026-06-01 21:04:09,-0.023427184466019418,103.0,44.0,0.27184466019417475,0.0,0.27184466019417475,0.04854368932038835,0.0,0.31277128152673705,2.0,True,0.2,0.1,Assurances,60.0,61.0,7,8,3,Meilleur pari
7,ATW,2809,278,0.03743182627269491,0.0,0.3437200508552665,-1.0,1.0,16,209,23,303,8,40,32,12,30,0,2020-12-23 09:48:49,2026-07-02 14:44:04,0.03743182627269491,2809.0,278.0,0.11142755428978283,0.005695977216091136,0.10786756852972589,0.07440370238519046,0.002847988608045568,0.3437200508552665,0.846,False,1.1,1.3,Banques,59.7,53.3,8,26,2,Neutre
8,TMA,882,131,0.025484126984126984,0.0,0.38555198026555976,-1.0,1.0,6,52,8,120,4,23,11,1,13,1,2020-12-23 13:39:26,2026-06-29 21:51:23,0.025484126984126988,882.0,131.0,0.14285714285714285,0.006802721088435374,0.1360544217687075,0.05895691609977324,0.0045351473922902496,0.38555198026555976,0.706,False,0.13,0.19,Énergie,59.7,52.2,8,29,1,Neutre
9,S2M,797,112,0.04992095357590966,0.0,0.3240407723354774,-1.0,1.0,8,59,8,54,3,8,9,1,4,0,2020-12-23 18:26:49,2026-06-24 10:34:51,0.04992095357590967,797.0,112.0,0.07779171894604768,0.010037641154328732,0.06775407779171895,0.0740276035131744,0.0037641154328732747,0.3240407723354774,1.091,False,0.13,0.12,Technologies,59.5,55.2,10,20,1,Neutre
